timestamp; x; y; z;
0.000000; 0.309448; -0.435760; -0.837036;
0.010013; 0.311691; -0.444656; -0.851562;
0.020025; 0.320496; -0.448532; -0.845276;
0.030038; 0.322342; -0.448608; -0.854553;
0.040050; 0.310211; -0.451721; -0.840225;
0.050063; 0.299881; -0.469360; -0.819931;
0.060075; 0.311249; -0.477646; -0.844604;
0.070088; 0.315201; -0.467819; -0.847641;
0.080100; 0.316498; -0.454849; -0.852493;
0.090113; 0.314529; -0.431580; -0.852936;
0.100125; 0.310547; -0.418610; -0.843201;
0.110138; 0.310745; -0.409866; -0.837250;
0.120150; 0.314072; -0.410812; -0.851715;
0.130163; 0.323135; -0.412109; -0.859512;
0.140175; 0.328476; -0.414719; -0.865524;
0.150188; 0.333588; -0.412506; -0.868973;
0.160200; 0.330368; -0.423538; -0.868988;
0.170213; 0.316879; -0.443298; -0.860336;
0.180225; 0.311691; -0.454224; -0.845459;
0.190238; 0.309250; -0.452042; -0.835480;
0.200250; 0.313339; -0.443207; -0.837082;
0.210263; 0.329224; -0.439560; -0.848526;
0.220275; 0.342865; -0.437363; -0.865570;
0.230288; 0.341766; -0.436996; -0.869797;
0.240300; 0.334732; -0.432755; -0.861160;
0.250313; 0.322845; -0.422806; -0.849045;
0.260325; 0.318695; -0.414917; -0.844452;
0.270338; 0.319992; -0.407166; -0.851196;
0.280350; 0.321564; -0.403580; -0.862595;
0.290363; 0.327011; -0.406143; -0.869858;
0.300375; 0.329590; -0.414032; -0.874512;
0.310388; 0.324707; -0.420944; -0.873001;
0.320401; 0.317291; -0.426147; -0.866516;
0.330413; 0.314011; -0.437088; -0.862137;
0.340425; 0.307617; -0.452164; -0.871185;
0.350438; 0.325882; -0.453598; -0.878143;
0.360451; 0.362152; -0.424713; -0.885468;
0.370463; 0.341873; -0.410538; -0.879089;
0.380476; 0.333725; -0.393524; -0.849564;
0.390488; 0.336227; -0.389114; -0.845627;
0.400501; 0.317398; -0.341080; -0.912338;
0.410513; 0.336090; -0.329697; -0.877716;
0.420526; 0.328491; -0.370529; -0.846771;
0.430538; 0.287781; -0.375000; -0.879547;
0.440551; 0.283478; -0.367371; -0.886063;
0.450563; 0.295151; -0.379547; -0.861099;
0.460576; 0.288971; -0.391449; -0.866669;
0.470588; 0.298660; -0.398163; -0.871643;
0.480601; 0.313400; -0.396088; -0.872986;
0.490613; 0.320984; -0.388046; -0.874512;
0.500626; 0.321823; -0.377808; -0.875336;
0.510638; 0.317841; -0.370300; -0.877014;
0.520651; 0.313751; -0.367676; -0.878204;
0.530663; 0.307922; -0.367310; -0.877167;
0.540676; 0.302200; -0.372726; -0.876663;
0.550688; 0.301804; -0.377945; -0.876358;
0.560701; 0.300827; -0.376083; -0.879150;
0.570713; 0.301285; -0.376724; -0.882721;
0.580726; 0.307755; -0.377975; -0.886826;
0.590738; 0.309891; -0.381302; -0.886765;
0.600751; 0.310562; -0.384781; -0.882797;
0.610763; 0.310349; -0.393585; -0.878723;
0.620776; 0.312332; -0.399521; -0.875412;
0.630788; 0.316696; -0.400085; -0.873077;
0.640801; 0.320465; -0.395767; -0.873810;
0.650813; 0.321365; -0.390182; -0.873764;
0.660826; 0.322952; -0.382401; -0.874176;
0.670838; 0.320465; -0.380157; -0.877365;
