timestamp; x; y; z;
0.000000; 0.220657; -0.384354; -0.898422;
0.010012; 0.218903; -0.390762; -0.889694;
0.020023; 0.215973; -0.380585; -0.892487;
0.030035; 0.216202; -0.361481; -0.895508;
0.040046; 0.209976; -0.355240; -0.903061;
0.050058; 0.209183; -0.355240; -0.918732;
0.060070; 0.211548; -0.364136; -0.929245;
0.070081; 0.218445; -0.370575; -0.937881;
0.080093; 0.215744; -0.372971; -0.936035;
0.090104; 0.206314; -0.373978; -0.924454;
0.100116; 0.206802; -0.361847; -0.918549;
0.110127; 0.208496; -0.353088; -0.911499;
0.120139; 0.207642; -0.353943; -0.903473;
0.130150; 0.207016; -0.358017; -0.900909;
0.140162; 0.211517; -0.360413; -0.906967;
0.150173; 0.216919; -0.359314; -0.917465;
0.160185; 0.215530; -0.351959; -0.915253;
0.170197; 0.211761; -0.348145; -0.918472;
0.180208; 0.208740; -0.353851; -0.930557;
0.190220; 0.204651; -0.356964; -0.938431;
0.200231; 0.198761; -0.353119; -0.928833;
0.210243; 0.191513; -0.358337; -0.917389;
0.220254; 0.192184; -0.369705; -0.913696;
0.230266; 0.197708; -0.375641; -0.913818;
0.240277; 0.202759; -0.374878; -0.914017;
0.250289; 0.200882; -0.371033; -0.906296;
0.260300; 0.196472; -0.370773; -0.898926;
0.270312; 0.195740; -0.372818; -0.904648;
0.280323; 0.199631; -0.372925; -0.902420;
0.290335; 0.202835; -0.374069; -0.904587;
0.300347; 0.199829; -0.371216; -0.907364;
0.310358; 0.198822; -0.368134; -0.901642;
0.320370; 0.200211; -0.369492; -0.895081;
0.330381; 0.203033; -0.373947; -0.905365;
0.340393; 0.207550; -0.377029; -0.929474;
0.350404; 0.205093; -0.372589; -0.930038;
0.360416; 0.198700; -0.362747; -0.912766;
0.370427; 0.196472; -0.356964; -0.921234;
0.380439; 0.199509; -0.357895; -0.927399;
0.390450; 0.202026; -0.361954; -0.919006;
0.400462; 0.206421; -0.361145; -0.915573;
0.410474; 0.213028; -0.360046; -0.906784;
0.420485; 0.210480; -0.359451; -0.906418;
0.430497; 0.205902; -0.361313; -0.909302;
0.440508; 0.211670; -0.358871; -0.919373;
0.450520; 0.209106; -0.361496; -0.929138;
0.460531; 0.205597; -0.362747; -0.931122;
0.470543; 0.205795; -0.359268; -0.928604;
0.480554; 0.204758; -0.360565; -0.932449;
0.490566; 0.206863; -0.363922; -0.931519;
0.500577; 0.208115; -0.363678; -0.914474;
0.510589; 0.209076; -0.360504; -0.904022;
0.520601; 0.211166; -0.360428; -0.905396;
0.530612; 0.209763; -0.362335; -0.907928;
0.540624; 0.207245; -0.365219; -0.912994;
0.550634; 0.206802; -0.364197; -0.916595;
0.560646; 0.208832; -0.363129; -0.921448;
0.570658; 0.209122; -0.363724; -0.924652;
0.580669; 0.212204; -0.363571; -0.924683;
0.590681; 0.215927; -0.359100; -0.919586;
0.600693; 0.209991; -0.359512; -0.918350;
0.610703; 0.204849; -0.362732; -0.918106;
0.620715; 0.203537; -0.362823; -0.918304;
0.630728; 0.206192; -0.362183; -0.916458;
0.640738; 0.209198; -0.363327; -0.913391;
0.650750; 0.208817; -0.362320; -0.916580;
0.660762; 0.206390; -0.361847; -0.919815;
0.670773; 0.206558; -0.356857; -0.915939;
0.680784; 0.210876; -0.353409; -0.916763;
0.690797; 0.203232; -0.370987; -0.910339;
0.700807; 0.195419; -0.372986; -0.916199;
0.710819; 0.191025; -0.374588; -0.914078;
0.720831; 0.193665; -0.369492; -0.915619;
0.730842; 0.202164; -0.362839; -0.919556;
0.740854; 0.205872; -0.359848; -0.921051;
0.750866; 0.206894; -0.362030; -0.919342;
0.760877; 0.205215; -0.363312; -0.914948;
0.770888; 0.202484; -0.363708; -0.915741;
0.780901; 0.199020; -0.363708; -0.917236;
0.790911; 0.194153; -0.362106; -0.916229;
0.800923; 0.194824; -0.360382; -0.915039;
0.810935; 0.197311; -0.365250; -0.916779;
0.820946; 0.195099; -0.372757; -0.919815;
0.830957; 0.189301; -0.376404; -0.916779;
0.840970; 0.186951; -0.373688; -0.916336;
0.850981; 0.186768; -0.372345; -0.919754;
0.860992; 0.189789; -0.368927; -0.922897;
0.871005; 0.192947; -0.366928; -0.920044;
0.881015; 0.195465; -0.365738; -0.915588;
0.891027; 0.198669; -0.365601; -0.910522;
0.901039; 0.201691; -0.364273; -0.905502;
0.911050; 0.200470; -0.364899; -0.908737;
0.921061; 0.195648; -0.369324; -0.915039;
0.931074; 0.193939; -0.367401; -0.919418;
0.941084; 0.195679; -0.365158; -0.923691;
0.951096; 0.197662; -0.367386; -0.923996;
0.961109; 0.197479; -0.371124; -0.919083;
0.971119; 0.197159; -0.370239; -0.915100;
0.981131; 0.191238; -0.368759; -0.918182;
0.991143; 0.182983; -0.374039; -0.919067;
1.001155; 0.175934; -0.376328; -0.918060;
1.011165; 0.175613; -0.371445; -0.922546;
1.021178; 0.176804; -0.370346; -0.924637;
