timestamp; x; y; z;
0.000000; -0.025269; -0.874268; -0.504822;
0.010014; -0.032242; -0.862213; -0.486115;
0.020027; -0.036789; -0.839218; -0.478745;
0.030041; -0.030304; -0.840012; -0.483383;
0.040054; -0.042725; -0.869049; -0.480103;
0.050068; -0.061554; -0.889069; -0.483322;
0.060081; -0.042068; -0.884506; -0.500778;
0.070095; -0.005386; -0.853424; -0.530212;
0.080108; 0.026031; -0.821060; -0.563919;
0.090122; 0.034409; -0.802261; -0.580536;
0.100135; 0.022614; -0.813553; -0.594681;
0.110149; 0.024338; -0.815460; -0.624924;
0.120162; 0.033325; -0.779037; -0.654160;
0.130176; 0.050751; -0.738052; -0.669937;
0.140189; 0.076355; -0.702667; -0.698273;
0.150203; 0.083054; -0.698380; -0.705643;
0.160216; 0.051254; -0.762482; -0.670364;
0.170230; -0.009888; -0.846069; -0.626175;
0.180243; -0.072891; -0.904938; -0.577621;
0.190257; -0.110809; -0.919724; -0.516953;
0.200270; -0.108841; -0.887512; -0.498764;
0.210284; -0.081421; -0.812271; -0.509583;
0.220297; -0.033386; -0.735779; -0.536911;
0.230311; -0.005447; -0.687851; -0.568756;
0.240324; 0.002945; -0.666306; -0.598022;
0.250338; 0.006989; -0.650360; -0.635025;
0.260351; 0.010651; -0.643036; -0.683884;
0.270365; 0.018951; -0.658966; -0.733490;
0.280378; 0.002472; -0.692703; -0.763275;
0.290392; -0.019135; -0.723770; -0.775314;
0.300405; -0.049026; -0.761444; -0.755478;
0.310419; -0.078583; -0.756744; -0.722885;
0.320432; -0.060593; -0.699905; -0.696213;
0.330446; -0.024139; -0.630203; -0.680954;
0.340459; 0.000412; -0.585876; -0.681488;
0.350473; 0.005402; -0.580246; -0.702850;
0.360486; -0.010941; -0.615387; -0.723618;
0.370500; -0.026138; -0.663162; -0.732391;
0.380513; -0.033264; -0.699570; -0.728210;
0.390527; -0.036057; -0.718216; -0.726303;
0.400540; -0.025024; -0.732193; -0.729050;
0.410554; -0.014328; -0.734268; -0.745605;
0.420567; 0.007660; -0.710892; -0.770905;
0.430581; 0.042725; -0.679337; -0.782562;
0.440594; 0.059433; -0.659760; -0.779099;
0.450608; 0.060425; -0.656219; -0.781693;
0.460621; 0.065033; -0.666595; -0.771851;
0.470635; 0.050400; -0.696716; -0.774902;
0.480648; 0.030914; -0.730331; -0.800079;
0.490662; 0.023209; -0.732742; -0.838730;
0.500675; 0.037216; -0.722198; -0.815598;
0.510689; 0.051956; -0.777161; -0.726379;
0.520702; 0.031967; -0.749115; -0.727737;
0.530716; 0.014374; -0.691635; -0.734726;
0.540729; 0.022110; -0.670059; -0.729752;
0.550743; 0.015610; -0.675354; -0.719315;
0.560756; -0.005157; -0.691193; -0.719788;
0.570770; -0.012039; -0.699234; -0.739471;
0.580783; -0.002975; -0.691925; -0.757431;
0.590797; 0.022919; -0.672455; -0.795792;
0.600810; 0.070175; -0.635498; -0.825943;
0.610824; 0.072723; -0.638504; -0.829391;
0.620837; 0.041962; -0.660721; -0.823746;
0.630851; 0.024551; -0.673386; -0.794876;
0.640864; 0.004059; -0.686646; -0.768951;
0.650878; -0.019043; -0.699509; -0.738174;
0.660891; -0.037003; -0.712769; -0.708023;
0.670905; -0.040939; -0.714371; -0.692902;
0.680918; -0.034805; -0.704071; -0.688736;
0.690932; -0.032486; -0.702362; -0.696503;
0.700945; -0.026535; -0.701111; -0.710800;
0.710959; -0.019394; -0.691010; -0.725174;
0.720972; -0.011429; -0.679108; -0.731461;
0.730986; -0.005020; -0.671036; -0.728607;
0.740999; -0.005127; -0.670395; -0.736572;
0.751013; -0.002228; -0.668442; -0.752487;
0.761026; -0.012650; -0.694489; -0.744736;
0.771040; -0.029694; -0.726730; -0.747620;
0.781053; -0.030457; -0.725479; -0.754822;
0.791067; -0.015640; -0.704422; -0.759033;
0.801080; 0.003098; -0.686981; -0.753815;
0.811094; 0.009003; -0.684189; -0.744751;
0.821107; 0.008789; -0.686966; -0.737625;
0.831121; 0.008789; -0.684830; -0.728638;
0.841134; 0.009399; -0.683853; -0.719727;
0.851148; 0.012726; -0.687027; -0.719208;
0.861161; 0.019943; -0.686447; -0.720337;
0.871175; 0.020432; -0.685593; -0.725769;
0.881188; 0.014938; -0.689880; -0.733185;
0.891202; 0.011139; -0.705811; -0.738083;
0.901215; 0.007797; -0.720978; -0.752487;
0.911229; 0.012695; -0.730042; -0.767334;
0.921242; 0.021515; -0.735321; -0.778412;
0.931256; 0.022583; -0.730865; -0.779083;
0.941269; 0.020889; -0.721878; -0.761948;
0.951283; 0.018768; -0.713058; -0.741348;
0.961296; 0.009521; -0.701004; -0.725159;
0.971310; -0.000610; -0.690292; -0.709335;
0.981323; -0.006866; -0.686539; -0.704285;
0.991337; -0.011307; -0.684891; -0.710114;
1.001350; -0.013107; -0.682159; -0.720261;
1.011364; -0.013962; -0.679825; -0.729141;
1.021377; -0.008850; -0.675705; -0.726074;
1.031391; -0.001923; -0.668457; -0.727203;
1.041404; -0.001740; -0.661758; -0.730026;
1.051418; 0.000519; -0.662506; -0.731934;
1.061431; -0.003143; -0.668716; -0.733505;
1.071445; -0.014175; -0.681107; -0.733795;
1.081458; -0.026474; -0.693634; -0.727386;
1.091472; -0.034698; -0.703140; -0.715836;
1.101485; -0.039093; -0.717026; -0.716858;
1.111499; -0.032135; -0.715652; -0.718536;
1.121512; -0.025620; -0.706268; -0.715302;
1.131526; -0.023956; -0.701630; -0.712601;
1.141539; -0.023117; -0.696930; -0.707687;
1.151553; -0.029694; -0.693176; -0.704620;
1.161566; -0.034241; -0.688110; -0.707077;
1.171580; -0.030365; -0.681366; -0.710419;
1.181593; -0.028305; -0.678070; -0.709991;
1.191607; -0.026230; -0.680832; -0.710205;
1.201620; -0.029358; -0.688782; -0.715622;
1.211634; -0.035126; -0.692429; -0.720963;
1.221647; -0.031677; -0.689209; -0.718246;
1.231661; -0.023880; -0.691315; -0.718979;
1.241674; -0.022598; -0.695145; -0.723480;
1.251688; -0.018951; -0.694214; -0.723633;
1.261701; -0.012177; -0.694839; -0.723801;
1.271715; -0.007538; -0.693573; -0.729309;
1.281728; -0.004013; -0.688553; -0.735199;
1.291742; -0.001938; -0.693039; -0.733978;
1.301755; -0.011353; -0.710159; -0.728516;
1.311769; -0.027115; -0.721420; -0.730377;
1.321782; -0.029541; -0.725449; -0.733444;
1.331796; -0.021591; -0.724258; -0.735840;
1.341809; -0.015015; -0.715744; -0.736557;
1.351823; -0.005264; -0.704041; -0.729065;
1.361836; 0.005356; -0.691498; -0.722763;
1.371850; 0.012436; -0.681824; -0.715408;
1.381863; 0.009109; -0.683685; -0.706512;
