timestamp; x; y; z;
0.000000; -0.247833; -0.182205; -1.040634;
0.010012; -0.249741; -0.173615; -1.014618;
0.020025; -0.269348; -0.170914; -0.962936;
0.030037; -0.285507; -0.178452; -0.925705;
0.040050; -0.294403; -0.181808; -0.896866;
0.050062; -0.297989; -0.176666; -0.870773;
0.060075; -0.282272; -0.159607; -0.884201;
0.070087; -0.279037; -0.149033; -0.913910;
0.080100; -0.283249; -0.142258; -0.942535;
0.090112; -0.278381; -0.133118; -0.973801;
0.100125; -0.274323; -0.124664; -0.986160;
0.110137; -0.278809; -0.121307; -0.977478;
0.120150; -0.287994; -0.124191; -0.957916;
0.130162; -0.299835; -0.126022; -0.940765;
0.140175; -0.307388; -0.124054; -0.929016;
0.150187; -0.312393; -0.125290; -0.925217;
0.160199; -0.314011; -0.130661; -0.930679;
0.170212; -0.311356; -0.130707; -0.936020;
0.180224; -0.306747; -0.129745; -0.935867;
0.190236; -0.306076; -0.134659; -0.924988;
0.200249; -0.298294; -0.139832; -0.925781;
0.210262; -0.288483; -0.148239; -0.926620;
0.220274; -0.270615; -0.178040; -0.907227;
0.230287; -0.251907; -0.217010; -0.904404;
0.240299; -0.238342; -0.237549; -0.947128;
0.250312; -0.226898; -0.220413; -1.006165;
0.260324; -0.227097; -0.178543; -1.037781;
0.270337; -0.235382; -0.143250; -1.033035;
0.280349; -0.250153; -0.129501; -1.009308;
0.290362; -0.265091; -0.132324; -0.984573;
0.300374; -0.272156; -0.134033; -0.975281;
0.310386; -0.273010; -0.128876; -0.977356;
0.320399; -0.269897; -0.124710; -0.972305;
0.330410; -0.268051; -0.127243; -0.959915;
0.340424; -0.273117; -0.128311; -0.948929;
0.350436; -0.276840; -0.127090; -0.944305;
0.360449; -0.279434; -0.128571; -0.947479;
0.370461; -0.283676; -0.130478; -0.955399;
0.380474; -0.280640; -0.129150; -0.958801;
0.390486; -0.272629; -0.126724; -0.962769;
0.400499; -0.264954; -0.125854; -0.974106;
0.410511; -0.264526; -0.128342; -0.984161;
0.420524; -0.268509; -0.133652; -0.975174;
0.430536; -0.275528; -0.140656; -0.958038;
0.440549; -0.278961; -0.148804; -0.947327;
0.450561; -0.272400; -0.154388; -0.944260;
0.460573; -0.265411; -0.158264; -0.946396;
0.470586; -0.260178; -0.158264; -0.952179;
0.480598; -0.261139; -0.157776; -0.955383;
0.490611; -0.260071; -0.158173; -0.953705;
0.500623; -0.259918; -0.159058; -0.955185;
0.510636; -0.260910; -0.153702; -0.957245;
0.520648; -0.265411; -0.150085; -0.963623;
0.530661; -0.269012; -0.148422; -0.966660;
0.540673; -0.269104; -0.148666; -0.968414;
0.550686; -0.267380; -0.145432; -0.969650;
0.560698; -0.263107; -0.142868; -0.965973;
