timestamp; x; y; z;
0.000000; -0.034012; -0.521317; -0.786835;
0.010013; -0.038925; -0.543427; -0.774918;
0.020025; -0.036133; -0.544708; -0.781372;
0.030037; -0.026718; -0.525284; -0.803497;
0.040050; -0.019562; -0.514496; -0.827194;
0.050062; -0.018631; -0.509705; -0.824310;
0.060074; -0.011307; -0.484802; -0.824554;
0.070087; 0.033707; -0.408264; -0.787735;
0.080099; 0.106750; -0.410843; -0.709076;
0.090111; -0.006485; -0.592926; -0.875534;
0.100124; -0.046585; -0.605942; -1.029633;
0.110136; 0.101318; -0.532272; -0.923553;
0.120149; 0.171631; -0.514526; -0.901871;
0.130161; 0.138687; -0.514618; -0.938217;
0.140170; 0.137100; -0.501907; -0.946793;
0.150183; 0.137894; -0.488098; -0.963425;
0.160195; 0.117569; -0.506897; -0.962036;
0.170207; 0.095078; -0.534561; -0.944763;
0.180220; 0.075500; -0.540176; -0.918533;
0.190232; 0.059586; -0.531235; -0.895432;
0.200244; 0.045731; -0.513428; -0.879547;
0.210257; 0.040482; -0.489182; -0.861984;
0.220269; 0.044968; -0.460938; -0.839905;
0.230281; 0.043747; -0.444611; -0.834732;
0.240294; 0.043686; -0.418991; -0.852737;
0.250306; 0.051498; -0.387451; -0.858200;
0.260319; 0.048630; -0.395065; -0.865295;
0.270331; 0.032242; -0.429977; -0.871140;
0.280343; 0.017029; -0.466675; -0.868912;
0.290356; 0.012527; -0.491119; -0.876694;
0.300368; 0.028717; -0.495056; -0.868698;
0.310380; 0.044998; -0.514572; -0.878189;
0.320393; 0.040039; -0.527069; -0.923889;
0.330405; 0.063721; -0.511261; -0.923004;
0.340417; 0.088684; -0.492462; -0.906296;
0.350430; 0.094315; -0.486176; -0.905228;
0.360442; 0.095947; -0.479538; -0.909286;
0.370454; 0.088623; -0.474167; -0.910858;
0.380467; 0.072006; -0.481308; -0.904846;
0.390479; 0.061661; -0.480545; -0.889694;
0.400491; 0.055435; -0.474258; -0.875366;
0.410504; 0.049438; -0.473328; -0.867630;
0.420516; 0.045151; -0.470596; -0.870010;
0.430529; 0.042297; -0.465439; -0.878952;
0.440541; 0.035980; -0.467880; -0.888367;
0.450553; 0.035187; -0.468185; -0.891388;
