timestamp; x; y; z;
0.000000; 0.196243; -0.356506; -1.015228;
0.010012; 0.157196; -0.390533; -0.988068;
0.020024; 0.121368; -0.452988; -1.032715;
0.030035; 0.175156; -0.421234; -1.011765;
0.040047; 0.141693; -0.371216; -0.959839;
0.050059; 0.091980; -0.365417; -0.935287;
0.060071; 0.111328; -0.390274; -0.909134;
0.070082; 0.103760; -0.459183; -0.893265;
0.080094; 0.111649; -0.494278; -0.887589;
0.090106; 0.133331; -0.503128; -0.906433;
0.100118; 0.206711; -0.444672; -0.862656;
0.110129; 0.127518; -0.398026; -0.856003;
0.120141; 0.108475; -0.365387; -0.832825;
0.130153; 0.085266; -0.373993; -0.861435;
0.140165; 0.133926; -0.377167; -0.942459;
0.150176; 0.142380; -0.426910; -0.985779;
0.160188; 0.110931; -0.520309; -0.955368;
0.170200; 0.079987; -0.538269; -0.867340;
0.180212; 0.040146; -0.532318; -0.709488;
0.190224; 0.005737; -0.543442; -0.542267;
0.200235; 0.008499; -0.499741; -0.495743;
0.210247; 0.060318; -0.434631; -0.564362;
0.220259; 0.120514; -0.361496; -0.744873;
0.230271; 0.189697; -0.211761; -0.895966;
0.240282; 0.218262; -0.058456; -0.929184;
0.250294; 0.141022; -0.095078; -0.906204;
0.260306; 0.034958; -0.246262; -0.844879;
0.270318; -0.032578; -0.416061; -0.791748;
0.280329; -0.024902; -0.490952; -0.847076;
0.290341; 0.056961; -0.489044; -1.013855;
0.300353; 0.130692; -0.413574; -1.125046;
0.310365; 0.196716; -0.310196; -1.217072;
0.320376; 0.251190; -0.243088; -1.351395;
0.330388; 0.257355; -0.218460; -1.413544;
0.340400; 0.222321; -0.197540; -1.336685;
0.350412; 0.131088; -0.209656; -1.176971;
0.360424; 0.030670; -0.266205; -1.021484;
0.370435; -0.030762; -0.311462; -0.845428;
0.380447; -0.050766; -0.340134; -0.772064;
0.390459; 0.004868; -0.287003; -0.885269;
0.400471; 0.103027; -0.233612; -1.016556;
0.410482; 0.164398; -0.207352; -1.137833;
0.420494; 0.181747; -0.187744; -1.232864;
0.430506; 0.151291; -0.223190; -1.211044;
0.440518; 0.053253; -0.297623; -1.026978;
0.450529; -0.055038; -0.373856; -0.818787;
0.460541; -0.146851; -0.463898; -0.577988;
