timestamp; x; y; z;
0.000000; 0.282776; -0.644531; -0.831833;
0.010011; 0.264938; -0.619568; -0.897400;
0.020023; 0.273972; -0.581146; -0.956039;
0.030034; 0.008087; -0.478699; -1.452881;
0.040045; -0.147797; -0.581085; -1.323364;
0.050056; -0.137756; -0.561691; -0.927963;
0.060068; -0.062332; -0.580414; -0.689285;
0.070079; -0.118134; -0.623428; -0.499359;
0.080090; -0.313751; -0.544479; -0.499557;
0.090101; -0.491653; -0.338318; -0.579544;
0.100112; -0.537811; -0.189682; -0.535355;
0.110124; -0.401611; -0.116257; -0.365036;
0.120135; -0.175537; -0.126968; -0.173004;
0.130146; 0.073685; -0.263748; -0.087036;
0.140157; 0.973251; -0.556427; -0.578842;
0.150169; 1.685944; -1.026474; -1.249496;
0.160180; 0.886505; -0.937210; -0.964981;
0.170191; 0.329132; -0.585510; -0.653595;
0.180202; 0.162338; -0.422806; -0.630081;
0.190213; 0.075302; -0.369965; -0.677338;
0.200225; 0.099808; -0.392212; -0.718903;
0.210236; 0.106567; -0.416733; -0.705627;
0.220247; -0.141815; -0.584778; -0.784119;
0.230258; -0.487640; -0.914673; -1.030029;
0.240269; -0.411514; -1.003586; -0.959839;
0.250281; -0.183823; -1.005951; -0.882339;
0.260292; 0.044846; -1.009949; -0.844666;
0.270303; 0.206390; -0.792831; -0.945953;
0.280314; 0.169479; -0.460739; -1.047440;
0.290326; 0.048386; -0.322235; -0.975937;
0.300337; -0.092865; -0.356995; -0.849686;
0.310348; -0.186035; -0.432983; -0.849655;
0.320359; -0.231583; -0.469345; -0.897369;
0.330370; -0.201431; -0.479736; -0.891144;
0.340382; -0.020569; -0.462433; -0.859161;
0.350393; 0.165497; -0.427032; -0.983963;
0.360404; 0.360458; -0.367218; -1.010345;
0.370415; 0.182251; -0.374130; -1.060638;
0.380426; 0.059204; -0.474350; -0.935455;
0.390438; -0.087097; -0.514664; -0.789536;
0.400449; -0.184280; -0.485382; -0.790176;
0.410460; -0.032715; -0.540604; -0.802719;
0.420471; 0.163132; -0.748886; -0.808578;
0.430483; 0.031693; -0.711716; -1.073288;
0.440494; -0.026520; -0.623459; -0.758011;
0.450505; 0.081909; -0.626801; -0.876648;
0.460516; 0.126495; -0.500351; -0.897339;
0.470527; 0.123123; -0.409180; -0.815933;
0.480539; 0.103256; -0.446320; -0.785049;
0.490550; 0.082642; -0.526016; -0.712036;
0.500561; 0.026657; -0.593430; -0.670151;
0.510572; -0.043747; -0.603836; -0.728271;
0.520583; -0.069717; -0.626999; -0.777740;
0.530595; -0.110703; -0.628220; -0.811447;
0.540606; -0.162552; -0.535950; -0.845398;
0.550617; -0.051758; -0.570847; -0.814987;
0.560628; 0.189026; -0.757446; -0.715530;
0.570639; 0.111938; -0.692368; -0.654404;
0.580651; 0.004715; -0.556961; -0.574600;
0.590662; -0.033813; -0.550354; -0.672852;
0.600673; -0.091660; -0.493347; -0.875244;
0.610684; -0.129456; -0.470749; -0.962662;
0.620696; -0.074982; -0.467606; -1.038162;
0.630707; -0.086807; -0.502502; -1.089600;
0.640718; 0.033798; -0.602402; -1.030823;
0.650729; 0.131927; -0.645950; -0.921051;
0.660740; 0.158859; -0.693375; -0.728912;
0.670752; 0.110748; -0.708969; -0.662323;
0.680763; -0.074036; -0.668777; -0.732803;
0.690774; -0.095856; -0.581100; -0.814224;
