timestamp; x; y; z;
0.000000; -0.055893; -0.532410; -0.855591;
0.010012; -0.044983; -0.534027; -0.864990;
0.020023; -0.040482; -0.543503; -0.864761;
0.030035; -0.043991; -0.552170; -0.845657;
0.040047; -0.048752; -0.558746; -0.830460;
0.050058; -0.040482; -0.552521; -0.829010;
0.060070; -0.037094; -0.541656; -0.840973;
0.070082; -0.028381; -0.532990; -0.850342;
0.080093; -0.022949; -0.524887; -0.848282;
0.090105; -0.022598; -0.522385; -0.838928;
0.100117; -0.026413; -0.534439; -0.827393;
0.110128; -0.028671; -0.542419; -0.819412;
0.120140; -0.028168; -0.550140; -0.818954;
0.130152; -0.024796; -0.563980; -0.828659;
0.140163; -0.017761; -0.571564; -0.839218;
0.150175; -0.006485; -0.571594; -0.847717;
0.160187; 0.001404; -0.570374; -0.858704;
0.170198; 0.006210; -0.562943; -0.861206;
0.180210; 0.008453; -0.556458; -0.858826;
0.190222; 0.000412; -0.559036; -0.850388;
0.200233; -0.012390; -0.565094; -0.837402;
0.210245; -0.024200; -0.570572; -0.821899;
0.220257; -0.031235; -0.571213; -0.813385;
0.230268; -0.032242; -0.564377; -0.809998;
0.240280; -0.028793; -0.552765; -0.812027;
0.250292; -0.022827; -0.543747; -0.816208;
0.260303; -0.020844; -0.537949; -0.825928;
0.270315; -0.016693; -0.537262; -0.839615;
0.280327; -0.011703; -0.538589; -0.848480;
0.290338; -0.005692; -0.540237; -0.855759;
0.300350; -0.005569; -0.547058; -0.861496;
0.310362; -0.008072; -0.555679; -0.863098;
0.320373; -0.011230; -0.569824; -0.863480;
0.330385; -0.018173; -0.586761; -0.864914;
0.340397; -0.012680; -0.586487; -0.870209;
0.350408; -0.005737; -0.575195; -0.866257;
0.360420; -0.011200; -0.562546; -0.863617;
0.370432; -0.005783; -0.547165; -0.851624;
0.380443; -0.008209; -0.535217; -0.843521;
0.390455; -0.008209; -0.532974; -0.839722;
0.400467; -0.007050; -0.538010; -0.851959;
0.410478; -0.004837; -0.550995; -0.850906;
0.420490; -0.016907; -0.573822; -0.870743;
0.430502; -0.037521; -0.580231; -0.896896;
0.440513; -0.035675; -0.544846; -0.909256;
0.450525; -0.024292; -0.503021; -0.907532;
0.460537; -0.022903; -0.463058; -0.881897;
0.470548; -0.042877; -0.466614; -0.819016;
0.480560; -0.103760; -0.536926; -0.715149;
0.490572; -0.173477; -0.605072; -0.690491;
0.500583; -0.172119; -0.610611; -0.746155;
0.510595; -0.112488; -0.556076; -0.834747;
0.520607; -0.055679; -0.472824; -0.966583;
0.530618; 0.030960; -0.417175; -0.974228;
0.540630; 0.077545; -0.428421; -0.934097;
0.550642; 0.062363; -0.448730; -0.891098;
0.560653; -0.007202; -0.557358; -0.779648;
0.570665; -0.100174; -0.660660; -0.768341;
0.580677; -0.169739; -0.727814; -0.800308;
0.590688; -0.204086; -0.797775; -0.823441;
0.600700; -0.165817; -0.701355; -0.919495;
0.610712; -0.062469; -0.482040; -1.018539;
0.620723; 0.022125; -0.308624; -1.014343;
0.630735; 0.028412; -0.218231; -0.907639;
0.640747; -0.044876; -0.277176; -0.776428;
0.650758; -0.131851; -0.448013; -0.698334;
0.660770; -0.176514; -0.604111; -0.670547;
0.670782; -0.183380; -0.687302; -0.755066;
0.680793; -0.111801; -0.710938; -0.864182;
0.690805; -0.024094; -0.667191; -0.970413;
0.700817; 0.037018; -0.576935; -1.058334;
