timestamp; x; y; z;
0.000000; 0.381073; -0.242828; -0.967133;
0.010012; 0.374084; -0.253845; -0.967514;
0.020024; 0.392624; -0.253387; -0.964737;
0.030036; 0.417343; -0.262192; -0.967407;
0.040048; 0.426193; -0.289368; -0.953964;
0.050060; 0.422180; -0.334961; -0.930099;
0.060071; 0.417969; -0.383133; -0.912415;
0.070083; 0.360519; -0.421295; -0.849686;
0.080095; 0.321121; -0.426086; -0.790085;
0.090107; 0.314880; -0.392090; -0.696671;
0.100119; 0.324738; -0.337494; -0.596893;
0.110131; 0.342361; -0.291840; -0.585968;
0.120142; 0.354355; -0.269775; -0.702972;
0.130154; 0.368195; -0.273651; -0.873901;
0.140166; 0.419922; -0.283203; -1.032349;
0.150178; 0.493713; -0.264420; -1.150375;
0.160190; 0.566711; -0.228699; -1.218719;
0.170201; 0.595016; -0.233582; -1.220886;
0.180213; 0.574478; -0.278168; -1.162262;
0.190225; 0.535034; -0.285919; -1.060333;
0.200237; 0.473572; -0.263718; -0.970383;
0.210249; 0.405197; -0.275299; -0.914215;
0.220261; 0.344559; -0.318756; -0.839874;
0.230272; 0.290817; -0.331253; -0.768509;
0.240284; 0.248505; -0.290894; -0.715408;
0.250296; 0.216721; -0.235931; -0.735306;
0.260308; 0.209625; -0.214905; -0.836411;
0.270320; 0.259140; -0.214462; -0.922211;
0.280332; 0.342712; -0.201431; -0.950180;
0.290343; 0.391479; -0.171478; -0.993317;
0.300355; 0.394501; -0.161041; -1.000031;
0.310367; 0.367950; -0.165848; -0.944183;
0.320379; 0.319382; -0.162262; -0.900284;
0.330391; 0.277924; -0.158844; -0.859421;
0.340403; 0.271820; -0.150284; -0.805542;
0.350414; 0.294434; -0.142059; -0.807404;
0.360426; 0.325317; -0.152466; -0.867615;
0.370438; 0.344681; -0.177185; -0.968689;
0.380450; 0.328308; -0.223282; -1.094269;
0.390462; 0.291138; -0.303467; -1.181625;
0.400473; 0.275925; -0.365356; -1.188812;
0.410485; 0.277817; -0.372238; -1.146744;
0.420497; 0.263626; -0.328781; -1.100845;
0.430509; 0.212921; -0.287979; -1.062103;
0.440521; 0.137512; -0.279053; -1.000275;
0.450533; 0.075287; -0.259628; -0.908035;
0.460544; 0.047134; -0.215500; -0.787445;
0.470556; 0.042831; -0.168610; -0.660507;
0.480568; 0.043167; -0.127930; -0.549469;
0.490580; 0.080246; -0.101013; -0.465317;
0.500592; 0.128845; -0.100204; -0.459366;
0.510604; 0.151215; -0.132263; -0.571091;
0.520615; 0.138840; -0.207718; -0.772675;
0.530627; 0.130325; -0.319534; -0.951736;
0.540639; 0.144272; -0.432617; -1.089417;
0.550651; 0.172012; -0.497162; -1.192307;
0.560663; 0.219238; -0.485962; -1.223404;
0.570675; 0.281281; -0.400299; -1.186676;
0.580686; 0.332275; -0.291245; -1.140167;
0.590698; 0.350830; -0.217972; -1.131912;
0.600710; 0.322968; -0.173462; -1.120331;
0.610722; 0.269669; -0.131104; -1.081238;
0.620734; 0.224747; -0.082245; -1.023483;
0.630746; 0.195007; -0.024002; -0.971848;
0.640757; 0.196396; 0.025482; -0.922546;
0.650769; 0.184998; 0.054642; -0.902496;
0.660781; 0.145920; 0.051376; -0.920715;
0.670793; 0.102554; 0.010071; -0.959488;
0.680805; 0.068253; -0.041031; -0.992203;
0.690817; 0.039993; -0.079575; -1.014389;
0.700828; 0.021011; -0.113312; -1.011703;
