timestamp; x; y; z;
0.000000; 0.077240; -0.464539; -0.868057;
0.010012; 0.091293; -0.455292; -0.862976;
0.020024; 0.095139; -0.454544; -0.853577;
0.030035; 0.081604; -0.481354; -0.816528;
0.040047; 0.090515; -0.472183; -0.808395;
0.050059; 0.118958; -0.465286; -0.804169;
0.060071; 0.120972; -0.493927; -0.772263;
0.070083; 0.126266; -0.477402; -0.794189;
0.080094; 0.141342; -0.439713; -0.839203;
0.090106; 0.151352; -0.429382; -0.873322;
0.100118; 0.155029; -0.434265; -0.915588;
0.110130; 0.149750; -0.437042; -0.960709;
0.120142; 0.147461; -0.442810; -0.981918;
0.130153; 0.143738; -0.444824; -0.984848;
0.140165; 0.140884; -0.438354; -0.970718;
0.150177; 0.139099; -0.429291; -0.928726;
0.160189; 0.123108; -0.435547; -0.894989;
0.170201; 0.101151; -0.449448; -0.876694;
0.180212; 0.090790; -0.455444; -0.860367;
0.190224; 0.088867; -0.457336; -0.864182;
0.200236; 0.096024; -0.455612; -0.882721;
0.210248; 0.105316; -0.453323; -0.892746;
0.220260; 0.110413; -0.451874; -0.895844;
0.230271; 0.115097; -0.450150; -0.909454;
0.240283; 0.126953; -0.446396; -0.908737;
0.250295; 0.138702; -0.447189; -0.896652;
0.260307; 0.164841; -0.456268; -0.870651;
0.270319; 0.236298; -0.485535; -0.830429;
0.280330; 0.317429; -0.558685; -0.786743;
0.290342; 0.400696; -0.670471; -0.742538;
0.300354; 0.470566; -0.794815; -0.761002;
0.310366; 0.528625; -0.875366; -0.848587;
0.320378; 0.552109; -0.908249; -0.962418;
0.330389; 0.488617; -0.887451; -1.084030;
0.340401; 0.367142; -0.775665; -1.137772;
0.350413; 0.190674; -0.593521; -1.109604;
0.360425; -0.000122; -0.335373; -1.020996;
0.370437; -0.168106; -0.063705; -0.843811;
0.380449; -0.309708; 0.132660; -0.647568;
0.390460; -0.345322; 0.229828; -0.505188;
0.400472; -0.273163; 0.177017; -0.503128;
0.410484; -0.153259; 0.041199; -0.647232;
0.420496; 0.041779; -0.116318; -0.870407;
0.430508; 0.265625; -0.300873; -1.098694;
0.440519; 0.379044; -0.505142; -1.227310;
0.450531; 0.343887; -0.732758; -1.287811;
0.460543; 0.245453; -0.816696; -1.262222;
0.470555; 0.166245; -0.707932; -1.153061;
0.480567; 0.021667; -0.565506; -1.012009;
0.490578; -0.117889; -0.419571; -0.810593;
0.500590; -0.213806; -0.251373; -0.689545;
0.510602; -0.212021; -0.130096; -0.569260;
0.520614; -0.101791; -0.098328; -0.549042;
0.530626; 0.019043; -0.178802; -0.671600;
0.540637; 0.143509; -0.323334; -0.885010;
0.550649; 0.368607; -0.526657; -1.141861;
0.560661; 0.538528; -0.622421; -1.397522;
0.570673; 0.587616; -0.613159; -1.552475;
0.580685; 0.509521; -0.606674; -1.548828;
0.590696; 0.370407; -0.520767; -1.359787;
0.600708; 0.233459; -0.376907; -1.076721;
0.610720; 0.085312; -0.290817; -0.765579;
0.620732; -0.024292; -0.272934; -0.440948;
0.630744; -0.139893; -0.299896; -0.321808;
0.640755; -0.187378; -0.327286; -0.340057;
0.650767; -0.115891; -0.323090; -0.286942;
0.660779; 0.034637; -0.376511; -0.262131;
0.670791; 0.195129; -0.548553; -0.470474;
0.680803; 0.302628; -0.921600; -1.109100;
0.690814; 0.326218; -1.018265; -1.503418;
0.700826; 0.414581; -0.937347; -1.753326;
0.710838; 0.565796; -0.586838; -1.401367;
0.720850; 0.524429; -0.304779; -1.351868;
0.730862; 0.409775; -0.203873; -1.101089;
0.740873; 0.279114; -0.211746; -0.812149;
0.750885; 0.142975; -0.239471; -0.433380;
0.760897; -0.056305; -0.279968; -0.181488;
0.770909; -0.291519; -0.419678; -0.079346;
0.780921; -0.432632; -0.602890; -0.041351;
0.790932; -0.493805; -0.721298; -0.184448;
0.800944; -0.324585; -0.701431; -0.520096;
0.810956; -0.068954; -0.740646; -0.894073;
0.820968; 0.120361; -0.717712; -1.581879;
0.830980; 0.322479; -0.613174; -2.117249;
0.840992; 0.605957; -0.355682; -1.812378;
0.851003; 0.617722; -0.063217; -1.703827;
0.861015; 0.505844; 0.093155; -1.263260;
0.871027; 0.376221; 0.096054; -0.881317;
0.881039; 0.141556; -0.047760; -0.536621;
0.891051; -0.218872; -0.263870; -0.351059;
0.901062; -0.516754; -0.432343; -0.255127;
0.911074; -0.671997; -0.532562; -0.333359;
0.921086; -0.613495; -0.535278; -0.330948;
0.931098; -0.393875; -0.486420; -0.480698;
0.941110; -0.192093; -0.388351; -0.835876;
0.951121; -0.035034; -0.307831; -1.704468;
0.961133; 0.257431; -0.235443; -1.663055;
0.971145; 0.468140; -0.033173; -1.656540;
0.981157; 0.473633; 0.102829; -1.541382;
0.991169; 0.504196; 0.110260; -1.217606;
1.001180; 0.458023; 0.026337; -0.795425;
1.011192; 0.302902; -0.082977; -0.357391;
1.021204; 0.024582; -0.280655; -0.045883;
1.031216; -0.460190; -0.570831; -0.105438;
1.041228; -0.818283; -0.886246; -0.279510;
1.051239; -0.698364; -0.967529; -0.407425;
1.061251; -0.301498; -0.729279; -0.661560;
1.071263; -0.001389; -0.591995; -1.116135;
1.081275; 0.279694; -0.519714; -1.275909;
1.091287; 0.465561; -0.368362; -1.397949;
1.101298; 0.449402; -0.262894; -1.311768;
1.111310; 0.350647; -0.239334; -1.037918;
1.121322; 0.251892; -0.265366; -0.787552;
1.131334; 0.211121; -0.376892; -0.622879;
1.141346; 0.029968; -0.614273; -0.647888;
1.151357; -0.238373; -0.891556; -0.896988;
1.161369; -0.413254; -0.937454; -1.084122;
