timestamp; x; y; z;
0.000000; -0.035767; -0.602692; -0.811050;
0.010011; -0.052948; -0.577255; -0.836639;
0.020023; -0.038223; -0.537415; -0.843231;
0.030034; -0.024216; -0.483261; -0.852173;
0.040045; -0.053787; -0.457611; -0.852158;
0.050057; -0.244202; -0.433395; -0.869293;
0.060068; -0.037552; -0.361343; -0.826553;
0.070079; 0.027222; -0.339752; -0.925903;
0.080090; -0.094711; -0.399414; -0.984375;
0.090102; -0.105011; -0.380692; -0.931702;
0.100113; -0.061279; -0.330856; -0.884979;
0.110124; -0.105072; -0.430664; -0.903320;
0.120135; -0.158600; -0.476883; -0.865662;
0.130147; -0.085083; -0.495743; -0.804962;
0.140158; -0.075775; -0.549622; -0.844894;
0.150169; -0.089722; -0.574020; -0.848953;
0.160181; -0.101440; -0.563217; -0.846878;
0.170192; -0.134979; -0.519974; -0.887421;
0.180203; -0.150681; -0.467224; -0.874512;
0.190214; -0.104568; -0.498276; -0.874084;
0.200226; -0.109818; -0.533127; -0.854019;
0.210237; -0.075928; -0.554428; -0.885727;
0.220248; -0.036255; -0.545242; -0.881149;
0.230260; -0.018158; -0.515320; -0.874252;
0.240271; -0.001205; -0.496826; -0.879257;
0.250282; 0.009140; -0.484451; -0.872955;
0.260293; -0.016510; -0.468231; -0.855148;
0.270305; 0.002274; -0.503082; -0.805206;
0.280316; -0.053711; -0.503815; -0.842361;
0.290327; -0.153610; -0.519165; -0.823410;
0.300338; -0.156052; -0.533524; -0.834366;
0.310350; -0.171005; -0.533279; -0.832291;
0.320361; -0.162384; -0.525620; -0.845673;
0.330372; -0.135269; -0.507202; -0.877823;
0.340383; -0.131073; -0.479050; -0.861435;
0.350395; -0.089478; -0.497177; -0.850876;
0.360406; -0.066360; -0.502243; -0.893814;
0.370417; -0.076675; -0.464539; -0.873138;
0.380429; 0.007507; -0.490326; -0.874313;
0.390440; -0.072479; -0.497711; -0.900497;
0.400451; -0.177628; -0.507309; -0.879639;
0.410462; -0.130890; -0.516617; -0.893829;
0.420474; -0.047531; -0.505157; -0.906189;
0.430485; -0.021637; -0.492188; -0.897263;
0.440496; 0.013672; -0.470596; -0.914658;
0.450507; 0.051788; -0.466553; -0.922104;
0.460519; -0.023605; -0.453735; -0.899155;
0.470530; 0.007645; -0.447678; -0.890900;
0.480541; 0.000656; -0.465942; -0.920792;
0.490553; -0.032059; -0.488098; -0.923874;
0.500564; -0.027512; -0.498901; -0.930801;
0.510575; -0.042175; -0.517517; -0.922714;
0.520586; -0.063232; -0.531555; -0.892700;
0.530598; -0.052063; -0.531189; -0.881561;
0.540609; -0.038956; -0.526382; -0.878647;
0.550620; -0.030853; -0.513550; -0.886642;
0.560631; -0.003311; -0.484772; -0.898987;
0.570643; 0.037720; -0.462448; -0.921783;
0.580654; 0.042969; -0.455109; -0.916702;
0.590665; 0.031296; -0.447830; -0.878220;
0.600677; -0.001328; -0.444550; -0.869217;
0.610688; -0.057190; -0.465240; -0.862961;
0.620699; -0.104279; -0.490189; -0.852844;
0.630710; -0.133209; -0.505814; -0.889832;
0.640722; -0.144424; -0.514038; -0.886108;
0.650733; -0.129837; -0.508194; -0.856033;
0.660744; -0.114151; -0.504211; -0.853531;
0.670755; -0.107285; -0.497528; -0.885483;
0.680767; -0.088623; -0.491699; -0.925995;
0.690778; -0.028351; -0.463959; -0.928223;
0.700789; 0.033279; -0.435059; -0.911880;
0.710801; 0.060562; -0.473846; -0.873459;
0.720812; 0.038544; -0.496979; -0.886215;
0.730823; -0.039627; -0.477234; -0.880920;
0.740834; -0.130951; -0.453156; -0.835144;
0.750846; -0.181992; -0.450180; -0.831223;
0.760857; -0.208832; -0.467850; -0.837555;
0.770868; -0.195419; -0.486389; -0.835114;
0.780879; -0.153427; -0.508759; -0.848053;
0.790891; -0.090256; -0.538666; -0.850113;
0.800902; -0.036530; -0.572617; -0.836899;
0.810913; -0.018341; -0.601135; -0.845871;
0.820924; -0.047562; -0.591064; -0.857468;
0.830936; -0.085251; -0.537872; -0.859406;
0.840947; -0.126709; -0.456985; -0.925385;
0.850958; -0.169632; -0.399918; -0.953644;
0.860970; -0.173065; -0.366104; -0.870712;
0.870981; -0.139221; -0.357071; -0.817032;
0.880992; -0.100815; -0.388611; -0.820450;
0.891003; -0.027298; -0.429977; -0.855606;
0.901015; 0.073990; -0.490891; -0.942291;
0.911026; 0.110321; -0.599167; -0.989822;
0.921037; 0.157349; -0.719482; -0.852615;
0.931048; 0.079880; -0.706772; -0.828278;
0.941060; 0.031601; -0.693558; -0.808945;
0.951071; -0.345001; -0.656784; -0.773224;
0.961082; -0.494949; -0.521774; -0.713654;
0.971094; -0.327057; -0.441757; -0.804642;
0.981105; -0.159363; -0.436752; -0.955338;
0.991116; -0.122025; -0.417648; -0.977142;
1.001127; -0.035141; -0.378250; -0.910004;
1.011139; 0.117599; -0.367798; -0.918716;
1.021150; 0.247314; -0.444794; -0.981155;
1.031161; 0.219391; -0.505508; -0.913071;
1.041173; 0.154633; -0.547058; -0.831970;
1.051184; 0.101456; -0.629242; -0.808777;
1.061195; -0.103500; -0.640274; -0.785538;
1.071206; -0.268372; -0.601181; -0.781525;
1.081218; -0.332611; -0.569183; -0.809036;
1.091229; -0.298447; -0.532104; -0.837143;
1.101240; -0.221497; -0.502609; -0.819855;
1.111251; -0.139023; -0.470551; -0.828171;
1.121263; -0.069321; -0.468872; -0.831131;
1.131274; -0.006241; -0.484299; -0.828949;
1.141285; 0.051346; -0.533829; -0.861954;
1.151296; 0.101074; -0.551743; -0.853561;
1.161308; 0.165680; -0.567719; -0.814194;
1.171319; 0.103470; -0.602707; -0.806534;
1.181330; -0.074905; -0.617523; -0.759659;
1.191342; -0.251053; -0.603668; -0.739655;
1.201353; -0.364609; -0.582169; -0.792374;
1.211364; -0.404449; -0.552902; -0.836273;
1.221375; -0.372284; -0.520355; -0.840378;
1.231387; -0.281616; -0.501846; -0.841476;
1.241398; -0.153351; -0.462036; -0.832825;
1.251409; -0.048676; -0.454391; -0.782532;
1.261420; 0.023682; -0.545517; -0.800125;
1.271432; 0.142944; -0.696045; -0.758133;
1.281443; 0.119934; -0.789017; -0.714890;
1.291454; -0.074265; -0.775925; -0.732590;
1.301466; -0.284027; -0.703766; -0.758759;
1.311477; -0.405899; -0.631805; -0.743179;
1.321488; -0.416931; -0.544342; -0.793350;
1.331499; -0.382446; -0.496155; -0.831604;
1.341511; -0.297119; -0.484406; -0.786377;
1.351522; -0.211899; -0.495575; -0.743103;
1.361533; -0.109955; -0.506622; -0.752274;
1.371544; 0.007523; -0.557343; -0.751038;
1.381556; 0.023163; -0.590607; -0.765411;
1.391567; -0.009171; -0.626556; -0.723679;
1.401578; -0.020355; -0.671494; -0.733398;
1.411590; -0.066238; -0.701370; -0.795120;
1.421601; -0.139282; -0.684250; -0.807190;
1.431612; -0.183334; -0.633392; -0.805405;
