timestamp; x; y; z;
0.000000; 0.163162; -0.592941; -0.883484;
0.010011; 0.167557; -0.663818; -0.855576;
0.020022; 0.135681; -0.672119; -0.806534;
0.030034; 0.057938; -0.651505; -0.875702;
0.040045; -0.006882; -0.626007; -1.093185;
0.050056; 0.003830; -0.601700; -0.990799;
0.060067; 0.075027; -0.538269; -0.900543;
0.070079; 0.034088; -0.396484; -0.960327;
0.080090; -0.036530; -0.348541; -0.888550;
0.090101; -0.027435; -0.380615; -0.772522;
0.100113; -0.070892; -0.466171; -0.716400;
0.110124; -0.184982; -0.509644; -0.642776;
0.120135; -0.178101; -0.513962; -0.598495;
0.130147; -0.121124; -0.500229; -0.666687;
0.140158; -0.047226; -0.426392; -0.781403;
0.150169; 0.050980; -0.319351; -0.775970;
0.160180; 0.149033; -0.291153; -0.677338;
0.170192; 0.169937; -0.311584; -0.645584;
0.180203; 0.122925; -0.426254; -0.725739;
0.190214; 0.017532; -0.570450; -0.746506;
0.200226; -0.089386; -0.686157; -0.621658;
0.210237; -0.141068; -0.772781; -0.519623;
0.220248; -0.034622; -1.209854; -0.198181;
0.230260; 0.185730; -1.379807; -0.822311;
0.240271; 0.147812; -0.645218; -1.612289;
0.250282; -0.139740; -0.646042; -0.952240;
0.260294; -0.354828; -0.793716; -0.745438;
0.270305; -0.541138; -0.662994; -0.779190;
0.280316; -0.285858; -0.472488; -0.863815;
0.290327; 0.060730; -0.399063; -0.692902;
0.300339; 0.248703; -0.503937; -0.530487;
0.310350; 0.367249; -0.567261; -0.770081;
0.320361; 0.445679; -0.590118; -1.012268;
0.330373; 0.254211; -0.623917; -0.912842;
0.340384; 0.087906; -0.607758; -0.817398;
0.350395; 0.069580; -0.582199; -0.883438;
0.360407; -0.026703; -0.569748; -0.861603;
0.370418; -0.120743; -0.607758; -0.875061;
0.380429; -0.138153; -0.677582; -0.885757;
0.390440; -0.102646; -0.703552; -0.885986;
0.400452; -0.009171; -0.708725; -0.844543;
0.410463; 0.092224; -0.654373; -0.812958;
0.420474; 0.158112; -0.560013; -0.773895;
0.430486; 0.193649; -0.455276; -0.741165;
0.440497; 0.185547; -0.423798; -0.703430;
0.450508; 0.169327; -0.456680; -0.722107;
0.460520; 0.078461; -0.533096; -0.758011;
0.470531; -0.047729; -0.603378; -0.826523;
0.480542; -0.088318; -0.689209; -0.915802;
0.490554; -0.055374; -0.759979; -0.928802;
0.500565; -0.012360; -0.745728; -0.870316;
0.510576; -0.001434; -0.670578; -0.786087;
0.520587; 0.017838; -0.609924; -0.721756;
0.530599; -0.005966; -0.591782; -0.674347;
0.540610; -0.014465; -0.588257; -0.705261;
0.550621; -0.003296; -0.583405; -0.765762;
0.560633; -0.006058; -0.559738; -0.824585;
0.570644; 0.009537; -0.540314; -0.924316;
0.580655; 0.070267; -0.554993; -0.967331;
0.590667; 0.138718; -0.613846; -0.923828;
0.600678; 0.162964; -0.656433; -0.817673;
0.610689; 0.134415; -0.666061; -0.678665;
0.620700; -0.056808; -0.640320; -0.688690;
0.630712; -0.055038; -0.594131; -0.707138;
0.640723; -0.051788; -0.576035; -0.771896;
0.650734; -0.048035; -0.535614; -0.871170;
0.660746; -0.027939; -0.516296; -0.914993;
0.670757; 0.019745; -0.517487; -0.874176;
0.680768; 0.092926; -0.596985; -0.799927;
0.690780; 0.146149; -0.735748; -0.655975;
0.700791; 0.049408; -0.772125; -0.606918;
0.710802; -0.064651; -0.718231; -0.651154;
0.720814; -0.115005; -0.637711; -0.725311;
0.730825; -0.135834; -0.562988; -0.813095;
0.740836; -0.057312; -0.534790; -0.840912;
0.750847; 0.062378; -0.531830; -0.794800;
0.760859; 0.161865; -0.532852; -0.767502;
0.770870; 0.153824; -0.523529; -0.801270;
0.780881; 0.022385; -0.554550; -0.872162;
0.790893; -0.193680; -0.638046; -0.917816;
0.800904; -0.340485; -0.692627; -1.007523;
0.810915; -0.317093; -0.748840; -0.969238;
0.820927; -0.191818; -0.790878; -0.794647;
0.830938; -0.061020; -0.753311; -0.717514;
0.840949; 0.008148; -0.712494; -0.669678;
0.850961; 0.001495; -0.677429; -0.682098;
0.860972; -0.032288; -0.650116; -0.763901;
0.870983; -0.067841; -0.637497; -0.806808;
0.880994; -0.032471; -0.608902; -0.857697;
0.891006; 0.021652; -0.581345; -0.810791;
0.901017; 0.020432; -0.586914; -0.663025;
0.911028; 0.009521; -0.591629; -0.654617;
0.921040; -0.038574; -0.618698; -0.667587;
0.931051; -0.107422; -0.640091; -0.724136;
0.941062; -0.139450; -0.674103; -0.772903;
0.951074; -0.116394; -0.724411; -0.794037;
0.961085; -0.062393; -0.770599; -0.807541;
0.971096; -0.025543; -0.752014; -0.738266;
0.981107; 0.008804; -0.702438; -0.680786;
0.991119; -0.013931; -0.661346; -0.651947;
1.001130; -0.099091; -0.633240; -0.720413;
1.011141; -0.196625; -0.615524; -0.842392;
1.021153; -0.243301; -0.574142; -0.952057;
1.031164; -0.228683; -0.545807; -0.989136;
1.041175; -0.164673; -0.540665; -0.970917;
1.051187; -0.063004; -0.592010; -0.956238;
1.061198; 0.053574; -0.684906; -0.916031;
1.071209; 0.107880; -0.794434; -0.829681;
1.081221; 0.084442; -0.848526; -0.761307;
1.091232; 0.021545; -0.836945; -0.761642;
1.101243; -0.060074; -0.774551; -0.753662;
1.111254; -0.097717; -0.739685; -0.732681;
1.121266; -0.059204; -0.711868; -0.737656;
1.131277; -0.040894; -0.686630; -0.730743;
1.141288; -0.040771; -0.674469; -0.746262;
1.151300; -0.030746; -0.660950; -0.816788;
1.161311; -0.003387; -0.644348; -0.896744;
1.171322; 0.072861; -0.641037; -0.947693;
1.181334; 0.073746; -0.663040; -0.900604;
1.191345; 0.050934; -0.731232; -0.814133;
1.201356; -0.016891; -0.830261; -0.740997;
1.211368; -0.153412; -0.854889; -0.704544;
1.221379; -0.259766; -0.834793; -0.764038;
1.231390; -0.264313; -0.774811; -0.831863;
1.241401; -0.203278; -0.694870; -0.848816;
1.251413; -0.139252; -0.614578; -0.839172;
1.261424; -0.072723; -0.552582; -0.839355;
1.271435; -0.003250; -0.558136; -0.831573;
1.281447; 0.035690; -0.615860; -0.812332;
1.291458; 0.071075; -0.671707; -0.850739;
1.301469; 0.136963; -0.783218; -0.854813;
1.311481; 0.100998; -0.813248; -0.768784;
1.321492; 0.004089; -0.787369; -0.695160;
1.331503; -0.068115; -0.781830; -0.642227;
1.341515; -0.112503; -0.773727; -0.651871;
1.351526; -0.116669; -0.743454; -0.692535;
1.361537; -0.095871; -0.684799; -0.739563;
1.371548; -0.065826; -0.598785; -0.784424;
1.381560; -0.019791; -0.535706; -0.820724;
1.391571; 0.051697; -0.535767; -0.841248;
1.401582; 0.146072; -0.573563; -0.825043;
1.411594; 0.205200; -0.707809; -0.731659;
1.421605; 0.132202; -0.805252; -0.562531;
1.431616; -0.025955; -0.923218; -0.404205;
1.441628; -0.213409; -0.987625; -0.369202;
1.451639; -0.341461; -0.979248; -0.440262;
1.461650; -0.367813; -0.923553; -0.524704;
1.471661; -0.338196; -0.827881; -0.600235;
1.481673; -0.300812; -0.722061; -0.672424;
1.491684; -0.259949; -0.636871; -0.719772;
1.501695; -0.212357; -0.619720; -0.742294;
1.511707; -0.153183; -0.677277; -0.710114;
1.521718; -0.082840; -0.753311; -0.654999;
1.531729; 0.050415; -0.825394; -0.571487;
1.541741; 0.085846; -0.892731; -0.381927;
1.551752; -0.020462; -0.904724; -0.321884;
1.561763; -0.213104; -0.907745; -0.337906;
1.571775; -0.367920; -0.910934; -0.386017;
1.581786; -0.403931; -0.905029; -0.492493;
1.591797; -0.346100; -0.844421; -0.542847;
1.601808; -0.273636; -0.749023; -0.543427;
1.611820; -0.209229; -0.662598; -0.603806;
1.621831; -0.155960; -0.640427; -0.643021;
1.631842; -0.108124; -0.666626; -0.632660;
1.641854; -0.097931; -0.736206; -0.621735;
1.651865; -0.083908; -0.876953; -0.557999;
1.661876; -0.154449; -0.948029; -0.510956;
1.671888; -0.286407; -0.915863; -0.500671;
1.681899; -0.363220; -0.880920; -0.508148;
1.691910; -0.332260; -0.860947; -0.555099;
1.701922; -0.271439; -0.833145; -0.569016;
1.711933; -0.234055; -0.807999; -0.569641;
1.721944; -0.211838; -0.784103; -0.588089;
1.731955; -0.174561; -0.752121; -0.602097;
1.741967; -0.122452; -0.725327; -0.580292;
1.751978; -0.024857; -0.742096; -0.572540;
1.761989; 0.068054; -0.820419; -0.514862;
1.772001; 0.067535; -0.891403; -0.432449;
1.782012; -0.046677; -0.919342; -0.375504;
1.792023; -0.186050; -0.912506; -0.378998;
1.802035; -0.385971; -0.900269; -0.428665;
1.812046; -0.313278; -0.896042; -0.478989;
1.822057; -0.287308; -0.852722; -0.479446;
1.832069; -0.249115; -0.789093; -0.507767;
1.842080; -0.194321; -0.735901; -0.520523;
1.852091; -0.167023; -0.707138; -0.483292;
1.862103; -0.169464; -0.691467; -0.461746;
1.872114; -0.163269; -0.727051; -0.449890;
1.882125; -0.064850; -0.861038; -0.458618;
1.892136; 0.053238; -1.046738; -0.446014;
1.902148; -0.005707; -1.064255; -0.402206;
1.912159; -0.131821; -0.989883; -0.362640;
1.922170; -0.184464; -0.915405; -0.333145;
1.932182; -0.219177; -0.884659; -0.311783;
1.942193; -0.229507; -0.879166; -0.320175;
1.952204; -0.225739; -0.876678; -0.400467;
1.962216; -0.238190; -0.815002; -0.472824;
1.972227; -0.236313; -0.749802; -0.522369;
1.982238; -0.141449; -0.700974; -0.565674;
1.992250; -0.010788; -0.727158; -0.544678;
2.002261; 0.050018; -0.818420; -0.460068;
2.012272; 0.094086; -0.924332; -0.354416;
2.022283; -0.025513; -0.947128; -0.184952;
2.032295; -0.207047; -0.962891; -0.160492;
2.042306; -0.326752; -0.972641; -0.304703;
2.052317; -0.406784; -0.958115; -0.389114;
2.062329; -0.409958; -0.902451; -0.444016;
2.072340; -0.340866; -0.807892; -0.488007;
2.082351; -0.266602; -0.739532; -0.467606;
2.092363; -0.193207; -0.710464; -0.451660;
2.102374; -0.082397; -0.749847; -0.440277;
2.112385; 0.009979; -0.813644; -0.390884;
2.122397; 0.021332; -0.877090; -0.321259;
2.132408; -0.002151; -0.941132; -0.265182;
2.142419; -0.069702; -0.948166; -0.251068;
2.152430; -0.193207; -0.923248; -0.250885;
2.162442; -0.279953; -0.884155; -0.277100;
2.172453; -0.263397; -0.859024; -0.310410;
2.182464; -0.159454; -0.813736; -0.358688;
2.192476; -0.069962; -0.742630; -0.368637;
2.202487; 0.000702; -0.656723; -0.390030;
2.212498; 0.026077; -0.609650; -0.405762;
2.222510; 0.011215; -0.635605; -0.406448;
2.232521; 0.005829; -0.732162; -0.390182;
2.242532; 0.049927; -0.862625; -0.351288;
2.252544; 0.045807; -0.934982; -0.254761;
2.262555; -0.073257; -0.926041; -0.197418;
2.272566; -0.218048; -0.916107; -0.272675;
2.282577; -0.321762; -0.919189; -0.348969;
2.292589; -0.302460; -0.919220; -0.420578;
2.302600; -0.207336; -0.900757; -0.436905;
2.312611; -0.103226; -0.846527; -0.421921;
2.322623; -0.019791; -0.786591; -0.430847;
2.332634; 0.002853; -0.774750; -0.421326;
2.342645; -0.002686; -0.811752; -0.398026;
2.352657; 0.034012; -0.918121; -0.383743;
2.362668; 0.057663; -1.025421; -0.369644;
2.372679; 0.004623; -1.052963; -0.337143;
2.382691; -0.065308; -0.997375; -0.367722;
2.392702; -0.135956; -0.954742; -0.390015;
2.402713; -0.179276; -0.944595; -0.419632;
2.412724; -0.173965; -0.948120; -0.481079;
2.422736; -0.126343; -0.932800; -0.522156;
2.432747; -0.086716; -0.879211; -0.497162;
2.442758; -0.023026; -0.809326; -0.501419;
2.452770; 0.054459; -0.785278; -0.493256;
2.462781; 0.119263; -0.818130; -0.467361;
2.472792; 0.121277; -0.887451; -0.440155;
2.482804; 0.090118; -0.969894; -0.436478;
2.492815; 0.027588; -1.020996; -0.427841;
2.502826; -0.065155; -1.004944; -0.409042;
2.512838; -0.120560; -0.985611; -0.401672;
2.522849; -0.104630; -0.965714; -0.419830;
