timestamp; x; y; z;
0.000000; 0.180038; -0.374741; -0.976288;
0.010012; 0.188049; -0.428177; -0.959946;
0.020024; 0.193359; -0.450775; -0.949326;
0.030036; 0.178452; -0.424866; -0.963974;
0.040048; 0.151260; -0.355225; -0.950302;
0.050060; 0.146835; -0.318634; -0.870865;
0.060071; 0.105392; -0.305298; -0.752014;
0.070083; 0.084763; -0.327377; -0.622101;
0.080095; 0.116913; -0.351334; -0.570297;
0.090107; 0.118286; -0.424728; -0.650589;
0.100119; 0.106293; -0.526291; -0.775406;
0.110131; 0.120773; -0.518539; -0.952911;
0.120143; 0.176422; -0.381180; -1.087875;
0.130155; 0.188538; -0.286880; -1.047241;
0.140167; 0.148529; -0.268188; -0.950729;
0.150177; 0.104034; -0.286789; -0.906754;
0.160189; 0.118790; -0.351624; -0.910751;
0.170201; 0.158554; -0.379486; -1.098236;
0.180213; 0.198959; -0.390442; -1.275635;
0.190225; 0.173248; -0.411911; -1.257309;
0.200237; 0.102707; -0.371262; -1.181137;
0.210249; 0.062836; -0.313599; -1.031830;
0.220261; 0.040192; -0.295441; -0.908417;
0.230273; 0.040039; -0.261505; -0.949585;
0.240285; 0.084717; -0.232178; -1.050705;
0.250296; 0.139893; -0.209122; -1.168686;
0.260308; 0.152237; -0.165054; -1.382690;
0.270320; 0.188751; -0.118500; -1.492996;
0.280332; 0.215118; -0.103027; -1.444168;
0.290344; 0.167465; -0.104156; -1.308777;
0.300356; 0.058777; -0.150681; -1.076355;
0.310368; -0.057297; -0.275238; -0.818192;
0.320380; -0.116745; -0.378632; -0.648315;
0.330391; -0.171860; -0.486618; -0.490494;
0.340403; -0.159561; -0.528366; -0.396164;
0.350415; -0.085739; -0.435822; -0.563156;
0.360427; 0.059616; -0.296844; -0.849487;
0.370439; 0.200211; -0.112259; -1.151642;
0.380451; 0.257446; 0.077271; -1.441406;
0.390463; 0.250931; 0.117279; -1.506638;
0.400475; 0.122528; -0.023285; -1.220551;
0.410487; -0.065109; -0.155090; -0.834778;
0.420498; -0.211731; -0.282013; -0.611725;
0.430510; -0.290192; -0.504501; -0.410675;
0.440522; -0.245514; -0.617874; -0.431564;
0.450534; -0.067947; -0.563995; -0.647903;
0.460546; 0.109543; -0.481155; -0.832031;
0.470558; 0.219391; -0.386002; -1.007874;
0.480570; 0.228470; -0.253494; -1.248611;
0.490582; 0.225357; -0.189453; -1.289124;
0.500594; 0.190643; -0.164749; -1.104782;
0.510605; 0.067398; -0.097397; -0.921326;
0.520617; -0.006348; -0.148224; -0.768463;
0.530629; 0.006424; -0.273987; -0.704330;
0.540641; 0.065750; -0.387009; -0.886749;
0.550653; 0.276459; -0.468369; -1.071564;
0.560665; 0.459137; -0.535538; -1.153946;
0.570677; 0.511749; -0.615402; -1.248474;
0.580689; 0.551315; -0.736557; -1.161407;
0.590701; 0.460342; -0.827560; -0.939850;
0.600712; 0.280273; -0.733582; -0.772339;
0.610724; 0.140915; -0.593048; -0.604721;
0.620736; 0.071045; -0.449722; -0.602203;
0.630748; 0.098282; -0.220352; -0.727112;
0.640760; 0.188477; -0.088791; -0.769272;
0.650772; 0.247849; -0.098938; -0.848755;
0.660784; 0.249359; -0.161865; -0.940765;
0.670796; 0.250305; -0.320770; -0.977859;
0.680808; 0.234909; -0.510910; -0.981369;
