timestamp; x; y; z;
0.000000; -0.048584; -0.347122; -0.944000;
0.010012; -0.039490; -0.343079; -0.944199;
0.020024; -0.033157; -0.351166; -0.936478;
0.030036; -0.033905; -0.361710; -0.926224;
0.040048; -0.045807; -0.383179; -0.888977;
0.050060; -0.053497; -0.394745; -0.863144;
0.060071; -0.045090; -0.400497; -0.808640;
0.070083; -0.041077; -0.418884; -0.783646;
0.080095; -0.017303; -0.394089; -0.890778;
0.090107; 0.020370; -0.366241; -0.967606;
0.100119; 0.028900; -0.404007; -0.976593;
0.110130; 0.014038; -0.342926; -1.011032;
0.120142; 0.001755; -0.308609; -0.812592;
0.130154; -0.063904; -0.357117; -0.543350;
0.140166; -0.134659; -0.354523; -0.451721;
0.150178; -0.139755; -0.424835; -0.382019;
0.160190; -0.119919; -0.491074; -0.707245;
0.170201; 0.010681; -0.420944; -1.203308;
0.180213; 0.183655; -0.334579; -1.595795;
0.190225; 0.285934; -0.188873; -1.921478;
0.200237; 0.237991; -0.062302; -1.897232;
0.210249; 0.102722; -0.041733; -1.401291;
0.220260; -0.142273; -0.117889; -0.912354;
0.230272; -0.313080; -0.235153; -0.441345;
0.240284; -0.399155; -0.424103; -0.013580;
0.250296; -0.365463; -0.582443; 0.020432;
0.260308; -0.136337; -0.599350; -0.449631;
0.270319; 0.187729; -0.532669; -1.119003;
0.280331; 0.408417; -0.446228; -1.735046;
0.290343; 0.504807; -0.303680; -2.082932;
0.300355; 0.459991; -0.167297; -2.060196;
0.310367; 0.274689; -0.090317; -1.743423;
0.320379; 0.052673; -0.107407; -1.167358;
0.330390; -0.178253; -0.162140; -0.664978;
0.340402; -0.315048; -0.313721; -0.251984;
0.350414; -0.398590; -0.522644; 0.102188;
0.360426; -0.366028; -0.662766; 0.259583;
0.370438; -0.190506; -0.724503; 0.046295;
0.380449; 0.030975; -0.714478; -0.468582;
0.390461; 0.222260; -0.616776; -1.077881;
0.400473; 0.393509; -0.461685; -1.513168;
0.410485; 0.473434; -0.282547; -1.782394;
0.420497; 0.419708; -0.013290; -2.020065;
0.430508; 0.281509; 0.176376; -1.974091;
0.440520; 0.054184; 0.174484; -1.412979;
0.450532; -0.214798; 0.049545; -0.780334;
0.460544; -0.459457; -0.240189; -0.330154;
0.470556; -0.523056; -0.558075; 0.037277;
0.480568; -0.392975; -0.766266; 0.208893;
0.490579; -0.139145; -0.821823; -0.044281;
0.500591; 0.127228; -0.742813; -0.553146;
0.510603; 0.351364; -0.610657; -1.065536;
0.520615; 0.500153; -0.458221; -1.471497;
0.530627; 0.527069; -0.240219; -1.764267;
0.540638; 0.396713; -0.009232; -1.813354;
0.550650; 0.235535; 0.128586; -1.400620;
0.560662; 0.004913; 0.176712; -0.806702;
0.570674; -0.332382; 0.021851; -0.392563;
0.580686; -0.499237; -0.373840; -0.073395;
0.590698; -0.426407; -0.658615; -0.002655;
0.600709; -0.152359; -0.758652; -0.391846;
0.610721; 0.144943; -0.688950; -1.088989;
0.620733; 0.412827; -0.535706; -1.705490;
0.630745; 0.531006; -0.374802; -2.110123;
0.640757; 0.497894; -0.149078; -2.269714;
0.650768; 0.304764; 0.042618; -1.871277;
0.660780; 0.040863; 0.150772; -1.045227;
0.670792; -0.318970; 0.128494; -0.362000;
0.680804; -0.562057; -0.137238; 0.014374;
0.690816; -0.548569; -0.454437; 0.167007;
0.700828; -0.310043; -0.648331; -0.071442;
0.710839; -0.018570; -0.709625; -0.641724;
0.720851; 0.227295; -0.655350; -1.272125;
0.730863; 0.409775; -0.545242; -1.708145;
0.740875; 0.449707; -0.388443; -1.919922;
0.750887; 0.373505; -0.169220; -1.819962;
0.760898; 0.197571; 0.013412; -1.375595;
0.770910; -0.053955; 0.060104; -0.785706;
0.780922; -0.317902; -0.078857; -0.370926;
0.790934; -0.438278; -0.290649; -0.227539;
0.800946; -0.388123; -0.461578; -0.243973;
0.810957; -0.206848; -0.591095; -0.376556;
0.820969; 0.000366; -0.680832; -0.678604;
0.830981; 0.191223; -0.691162; -1.084686;
0.840993; 0.381805; -0.609070; -1.526733;
0.851005; 0.478317; -0.458328; -1.967636;
0.861017; 0.491669; -0.217438; -2.124344;
0.871028; 0.380997; 0.004684; -1.758591;
0.881040; 0.121017; 0.065369; -0.940475;
0.891052; -0.280685; -0.053558; -0.287552;
0.901064; -0.546036; -0.329254; 0.175644;
0.911076; -0.551254; -0.591187; 0.333786;
0.921087; -0.354065; -0.776566; 0.119049;
0.931099; -0.049896; -0.821884; -0.338135;
0.941111; 0.216309; -0.787674; -0.854568;
0.951123; 0.401093; -0.675537; -1.340729;
0.961135; 0.488144; -0.500717; -1.696152;
