timestamp; x; y; z;
0.000000; 0.121017; -0.461960; -0.854370;
0.010011; 0.121063; -0.449127; -0.849533;
0.020023; 0.133011; -0.440979; -0.854752;
0.030034; 0.141556; -0.436157; -0.862915;
0.040046; 0.147263; -0.438370; -0.875076;
0.050058; 0.157089; -0.443817; -0.893204;
0.060069; 0.164413; -0.445999; -0.898788;
0.070081; 0.167145; -0.449097; -0.895874;
0.080092; 0.170517; -0.449860; -0.893112;
0.090104; 0.172180; -0.450516; -0.888107;
0.100115; 0.169830; -0.451370; -0.884903;
0.110127; 0.168213; -0.451279; -0.880371;
0.120138; 0.167023; -0.450607; -0.873169;
0.130150; 0.165482; -0.452377; -0.873535;
0.140161; 0.163925; -0.455887; -0.875580;
0.150173; 0.162872; -0.459930; -0.877396;
0.160185; 0.167267; -0.457321; -0.877319;
0.170196; 0.169388; -0.450684; -0.883377;
0.180208; 0.171219; -0.448761; -0.895554;
0.190219; 0.174759; -0.444611; -0.896713;
0.200231; 0.181076; -0.440857; -0.901138;
0.210242; 0.190582; -0.439392; -0.916748;
0.220254; 0.190521; -0.440445; -0.923141;
0.230265; 0.185257; -0.443375; -0.915909;
0.240277; 0.175552; -0.445251; -0.900528;
0.250288; 0.165268; -0.449234; -0.882294;
0.260300; 0.157455; -0.450195; -0.867004;
0.270312; 0.153061; -0.453064; -0.865601;
0.280323; 0.151535; -0.454666; -0.870987;
0.290335; 0.152283; -0.450806; -0.877686;
0.300346; 0.152161; -0.444077; -0.886154;
0.310361; 0.157867; -0.432495; -0.896027;
0.320372; 0.162827; -0.417679; -0.902649;
0.330384; 0.167068; -0.410233; -0.900864;
0.340395; 0.164001; -0.413712; -0.894775;
0.350407; 0.159393; -0.425430; -0.897064;
0.360419; 0.152695; -0.441818; -0.897324;
0.370430; 0.146454; -0.450439; -0.890549;
0.380442; 0.144653; -0.455750; -0.887756;
0.390453; 0.144836; -0.457031; -0.896942;
0.400465; 0.142105; -0.448380; -0.897705;
0.410476; 0.138580; -0.438156; -0.887909;
0.420488; 0.139252; -0.429840; -0.880402;
0.430499; 0.144150; -0.425018; -0.875900;
0.440511; 0.155792; -0.424896; -0.889603;
0.450522; 0.169449; -0.424286; -0.914505;
0.460534; 0.174622; -0.421356; -0.926453;
0.470546; 0.180634; -0.422485; -0.947021;
0.480557; 0.192886; -0.428543; -0.981308;
0.490569; 0.195190; -0.432419; -0.991959;
0.500580; 0.186707; -0.425247; -0.980255;
0.510592; 0.177979; -0.413330; -0.961456;
0.520603; 0.166595; -0.410034; -0.940872;
0.530615; 0.148758; -0.403931; -0.908600;
0.540626; 0.123444; -0.396591; -0.874832;
0.550638; 0.103912; -0.401779; -0.847305;
0.560650; 0.081665; -0.414307; -0.830414;
0.570661; 0.083557; -0.423676; -0.834946;
0.580673; 0.096985; -0.430954; -0.856339;
0.590684; 0.111740; -0.423630; -0.882019;
0.600696; 0.128372; -0.415253; -0.911957;
0.610707; 0.139313; -0.408386; -0.942154;
0.620719; 0.143524; -0.398087; -0.949051;
0.630730; 0.139328; -0.396011; -0.941406;
0.640742; 0.130981; -0.399673; -0.923309;
0.650754; 0.118637; -0.403473; -0.896912;
0.660765; 0.102783; -0.405518; -0.872726;
0.670777; 0.094574; -0.407288; -0.849716;
0.680788; 0.086319; -0.409027; -0.832916;
0.690800; 0.076172; -0.409134; -0.818619;
0.700811; 0.076233; -0.417053; -0.813904;
0.710823; 0.086243; -0.426483; -0.824173;
0.720834; 0.111343; -0.424500; -0.844742;
0.730846; 0.151093; -0.412369; -0.896820;
0.740857; 0.199097; -0.401138; -0.983002;
0.750869; 0.236450; -0.394958; -1.060791;
0.760881; 0.248688; -0.386246; -1.104126;
0.770892; 0.235519; -0.382095; -1.097290;
0.780904; 0.208221; -0.398880; -1.048553;
0.790915; 0.173080; -0.419754; -0.973572;
0.800927; 0.136932; -0.430878; -0.909821;
0.810938; 0.104645; -0.429092; -0.852432;
0.820950; 0.072479; -0.426956; -0.809753;
0.830961; 0.055283; -0.423904; -0.775925;
0.840973; 0.063477; -0.411774; -0.762497;
0.850984; 0.095093; -0.401215; -0.794846;
0.860996; 0.135178; -0.388702; -0.863037;
0.871008; 0.159531; -0.373520; -0.903061;
0.881019; 0.171051; -0.372818; -0.933487;
0.891031; 0.192825; -0.379471; -0.961288;
0.901042; 0.208359; -0.384628; -0.979065;
0.911054; 0.202667; -0.395844; -0.977127;
0.921065; 0.190018; -0.417068; -0.963150;
0.931077; 0.180145; -0.433975; -0.942886;
0.941088; 0.163635; -0.442368; -0.918915;
0.951100; 0.145157; -0.450363; -0.897644;
0.961112; 0.133301; -0.454620; -0.879745;
0.971123; 0.128494; -0.452438; -0.862518;
0.981135; 0.130219; -0.441132; -0.853302;
0.991146; 0.135361; -0.421448; -0.848465;
1.001158; 0.142410; -0.405731; -0.850204;
1.011169; 0.155411; -0.403412; -0.867920;
1.021181; 0.168655; -0.405319; -0.904083;
1.031192; 0.173553; -0.405090; -0.930328;
1.041204; 0.169586; -0.411621; -0.940475;
1.051215; 0.163544; -0.420654; -0.933289;
1.061227; 0.153687; -0.426147; -0.920090;
1.071239; 0.144897; -0.426483; -0.902863;
1.081250; 0.138992; -0.424713; -0.888092;
1.091262; 0.134552; -0.421204; -0.881424;
1.101273; 0.134430; -0.415482; -0.871490;
1.111285; 0.141663; -0.409760; -0.882141;
1.121296; 0.152222; -0.406494; -0.904678;
1.131308; 0.153137; -0.408508; -0.909668;
1.141319; 0.153992; -0.410416; -0.907043;
1.151331; 0.154099; -0.409012; -0.908646;
1.161343; 0.151108; -0.409515; -0.901749;
1.171354; 0.146896; -0.410278; -0.890610;
1.181366; 0.144012; -0.413986; -0.879227;
1.191377; 0.144882; -0.420822; -0.880554;
1.201389; 0.150101; -0.426208; -0.892639;
1.211400; 0.156494; -0.426514; -0.897614;
1.221412; 0.166504; -0.427353; -0.909790;
1.231423; 0.183197; -0.427383; -0.926575;
1.241435; 0.193985; -0.423996; -0.943939;
1.251446; 0.194153; -0.421097; -0.957199;
1.261458; 0.192123; -0.422714; -0.957626;
1.271470; 0.186508; -0.426987; -0.951904;
1.281481; 0.181183; -0.429825; -0.945862;
1.291493; 0.170288; -0.431320; -0.938019;
1.301504; 0.162018; -0.428879; -0.925766;
1.311516; 0.147079; -0.422348; -0.896271;
1.321527; 0.125900; -0.413208; -0.866272;
1.331539; 0.107880; -0.405960; -0.830505;
1.341550; 0.101578; -0.403976; -0.813522;
1.351562; 0.110260; -0.403122; -0.816238;
1.361574; 0.128387; -0.397491; -0.841553;
1.371585; 0.150879; -0.392395; -0.871658;
1.381597; 0.178909; -0.393845; -0.922653;
1.391608; 0.201797; -0.396927; -0.975128;
1.401620; 0.208115; -0.399307; -0.999176;
1.411631; 0.193787; -0.407120; -1.000763;
1.421643; 0.172546; -0.430054; -0.979095;
1.431654; 0.161148; -0.446228; -0.941238;
1.441666; 0.154785; -0.442276; -0.918869;
1.451677; 0.138138; -0.427200; -0.890244;
1.461689; 0.118164; -0.415985; -0.854721;
1.471701; 0.112137; -0.410202; -0.824280;
1.481712; 0.118347; -0.404160; -0.810303;
1.491724; 0.134140; -0.399384; -0.824371;
1.501735; 0.151703; -0.402252; -0.849823;
1.511747; 0.170624; -0.415253; -0.882736;
1.521758; 0.196960; -0.418579; -0.935715;
1.531770; 0.213242; -0.417526; -0.977905;
1.541781; 0.209976; -0.424744; -0.999527;
1.551793; 0.201920; -0.439987; -0.992020;
1.561805; 0.194489; -0.450729; -0.964279;
1.571816; 0.184326; -0.452118; -0.934891;
1.581828; 0.181427; -0.449432; -0.921921;
1.591839; 0.177780; -0.446213; -0.920227;
1.601851; 0.158920; -0.429214; -0.913742;
1.611862; 0.151031; -0.423035; -0.926498;
1.621874; 0.153198; -0.411072; -0.906616;
1.631885; 0.153595; -0.401001; -0.903580;
1.641897; 0.157318; -0.388840; -0.935333;
1.651909; 0.151642; -0.380630; -0.942413;
1.661920; 0.132843; -0.383972; -0.923218;
1.671932; 0.109619; -0.387558; -0.899857;
1.681943; 0.085205; -0.396454; -0.871124;
1.691955; 0.067749; -0.404831; -0.854202;
1.701966; 0.058777; -0.402939; -0.842682;
1.711978; 0.062073; -0.390228; -0.828232;
1.721989; 0.071823; -0.375290; -0.826172;
1.732001; 0.077438; -0.355072; -0.827835;
1.742012; 0.091888; -0.345261; -0.834351;
1.752024; 0.111099; -0.348465; -0.844803;
1.762035; 0.129517; -0.358490; -0.882538;
1.772047; 0.148636; -0.369888; -0.928146;
1.782059; 0.168854; -0.384155; -0.961456;
1.792070; 0.185425; -0.390900; -0.990723;
1.802082; 0.187668; -0.394485; -1.002182;
1.812093; 0.175049; -0.404099; -0.994034;
1.822105; 0.158829; -0.416000; -0.968185;
1.832116; 0.139648; -0.424423; -0.937668;
1.842128; 0.125366; -0.429382; -0.904846;
1.852139; 0.118103; -0.429276; -0.883118;
1.862151; 0.116974; -0.426422; -0.872833;
1.872163; 0.131454; -0.416885; -0.870682;
1.882174; 0.150146; -0.403732; -0.894135;
1.892186; 0.166367; -0.387726; -0.907974;
1.902197; 0.164673; -0.384201; -0.913925;
1.912209; 0.162567; -0.387802; -0.923737;
1.922220; 0.167358; -0.385452; -0.949158;
1.932232; 0.178528; -0.391983; -0.952911;
1.942243; 0.171875; -0.407211; -0.947891;
1.952255; 0.155746; -0.416718; -0.938644;
1.962267; 0.145004; -0.423096; -0.922089;
1.972278; 0.139984; -0.421997; -0.906677;
1.982290; 0.135178; -0.423538; -0.892746;
1.992301; 0.139679; -0.426804; -0.892242;
2.002313; 0.144638; -0.418442; -0.898529;
2.012324; 0.143097; -0.407425; -0.905716;
2.022336; 0.141968; -0.397980; -0.909592;
2.032347; 0.143448; -0.393829; -0.906097;
2.042359; 0.146423; -0.393936; -0.894806;
2.052370; 0.157562; -0.396866; -0.900497;
2.062382; 0.168732; -0.401489; -0.934525;
2.072394; 0.180084; -0.407578; -0.963577;
2.082405; 0.182251; -0.410110; -0.984772;
2.092417; 0.176041; -0.406815; -0.992599;
2.102428; 0.151321; -0.406067; -0.976349;
2.112440; 0.116302; -0.407944; -0.940552;
2.122451; 0.090286; -0.410980; -0.888626;
2.132463; 0.074249; -0.408340; -0.837799;
2.142474; 0.061203; -0.399612; -0.797348;
2.152486; 0.056717; -0.397797; -0.769547;
2.162498; 0.067917; -0.401611; -0.779907;
2.172509; 0.089798; -0.393402; -0.808441;
2.182521; 0.120178; -0.387482; -0.835114;
2.192532; 0.148788; -0.385437; -0.872269;
2.202544; 0.170059; -0.383713; -0.907196;
2.212555; 0.182465; -0.392334; -0.940979;
2.222567; 0.190521; -0.404831; -0.967422;
2.232578; 0.190308; -0.418747; -0.975937;
2.242590; 0.188431; -0.434708; -0.974197;
2.252601; 0.186661; -0.443756; -0.965805;
2.262613; 0.185120; -0.445038; -0.958023;
2.272625; 0.185486; -0.440994; -0.937927;
2.282636; 0.181839; -0.433411; -0.916519;
2.292648; 0.178055; -0.426544; -0.905930;
2.302659; 0.172363; -0.422546; -0.900131;
2.312672; 0.169006; -0.418854; -0.892090;
2.322683; 0.168869; -0.419861; -0.890457;
2.332695; 0.170380; -0.420486; -0.895294;
2.342706; 0.171661; -0.420441; -0.897720;
2.352718; 0.176071; -0.416611; -0.896210;
2.362730; 0.180191; -0.415482; -0.901123;
