timestamp; x; y; z;
0.000000; 0.377472; -0.588898; -0.849579;
0.010012; 0.374237; -0.596832; -0.875717;
0.020024; 0.374084; -0.602829; -0.906982;
0.030036; 0.377121; -0.599152; -0.916138;
0.040047; 0.369308; -0.596069; -0.917770;
0.050059; 0.353592; -0.592010; -0.924118;
0.060071; 0.340668; -0.577103; -0.907715;
0.070083; 0.318161; -0.556061; -0.868134;
0.080095; 0.280487; -0.536179; -0.821716;
0.090106; 0.230576; -0.520645; -0.772842;
0.100118; 0.179596; -0.509171; -0.723160;
0.110130; 0.132355; -0.498840; -0.677399;
0.120142; 0.107803; -0.490646; -0.633621;
0.130154; 0.097687; -0.480743; -0.614441;
0.140166; 0.061096; -0.473495; -0.623016;
0.150177; 0.049347; -0.476578; -0.666779;
0.160189; 0.071365; -0.491943; -0.744431;
0.170201; 0.114243; -0.495895; -0.821960;
0.180213; 0.147995; -0.495575; -0.885834;
0.190225; 0.163300; -0.498215; -0.945282;
0.200236; 0.178116; -0.496826; -0.985550;
0.210248; 0.188843; -0.486603; -1.004150;
0.220260; 0.191162; -0.467606; -1.003464;
0.230272; 0.187088; -0.445969; -0.978287;
0.240284; 0.173019; -0.426819; -0.932541;
0.250296; 0.150604; -0.417709; -0.883316;
0.260307; 0.128540; -0.416336; -0.832031;
0.270319; 0.113022; -0.420853; -0.778793;
0.280331; 0.112549; -0.428131; -0.738922;
0.290343; 0.118423; -0.429199; -0.736298;
0.300355; 0.125229; -0.439377; -0.791382;
0.310366; 0.146484; -0.481018; -0.900269;
0.320378; 0.175980; -0.534576; -1.026855;
0.330390; 0.203079; -0.565094; -1.122330;
0.340402; 0.220154; -0.560684; -1.181717;
0.350414; 0.242096; -0.526886; -1.204575;
0.360426; 0.253632; -0.479782; -1.180084;
0.370437; 0.252716; -0.435410; -1.117355;
0.380449; 0.231537; -0.400421; -1.026413;
0.390461; 0.185883; -0.379883; -0.932800;
0.400473; 0.138153; -0.365189; -0.842316;
0.410485; 0.093964; -0.354813; -0.756958;
0.420496; 0.050430; -0.352158; -0.685654;
0.430508; 0.014816; -0.354370; -0.625076;
0.440520; -0.018753; -0.366562; -0.568222;
0.450532; -0.039169; -0.390579; -0.522278;
0.460544; -0.048447; -0.428589; -0.503937;
0.470556; -0.048904; -0.474899; -0.532806;
0.480567; -0.046509; -0.521729; -0.624481;
0.490579; -0.026108; -0.557739; -0.765945;
0.500591; 0.016037; -0.583527; -0.904953;
0.510603; 0.064148; -0.605835; -0.989761;
0.520615; 0.098160; -0.622238; -1.047043;
0.530627; 0.135117; -0.610931; -1.101791;
0.540638; 0.191360; -0.558136; -1.124100;
0.550650; 0.242844; -0.478775; -1.098282;
0.560662; 0.266449; -0.409851; -1.034546;
0.570674; 0.269333; -0.366608; -0.957413;
0.580686; 0.238907; -0.355545; -0.891586;
0.590697; 0.189148; -0.367905; -0.829285;
0.600709; 0.153702; -0.400696; -0.771362;
0.610721; 0.133606; -0.444153; -0.731522;
0.620733; 0.115692; -0.480179; -0.709045;
0.630745; 0.105743; -0.510040; -0.704193;
0.640757; 0.104599; -0.535477; -0.737732;
0.650768; 0.100952; -0.550644; -0.792358;
0.660780; 0.090790; -0.565460; -0.837418;
0.670792; 0.091721; -0.572128; -0.864563;
0.680804; 0.105988; -0.564896; -0.890289;
0.690816; 0.126495; -0.552048; -0.912552;
0.700827; 0.148193; -0.533615; -0.922363;
0.710843; 0.166794; -0.509705; -0.924423;
0.720855; 0.180725; -0.483109; -0.918320;
0.730867; 0.186951; -0.460678; -0.903702;
0.740879; 0.177887; -0.456055; -0.878693;
0.750891; 0.161560; -0.466187; -0.843262;
0.760902; 0.145370; -0.480530; -0.809219;
0.770914; 0.125320; -0.491013; -0.791962;
0.780926; 0.124161; -0.500351; -0.789215;
0.790938; 0.123840; -0.510620; -0.836334;
0.800950; 0.114532; -0.521835; -0.914230;
0.810962; 0.117432; -0.534714; -0.967606;
0.820973; 0.139008; -0.537003; -0.980316;
0.830985; 0.158447; -0.523636; -0.988800;
0.840997; 0.168671; -0.502090; -0.989410;
0.851009; 0.165665; -0.479477; -0.958267;
0.861021; 0.145874; -0.467514; -0.917130;
0.871032; 0.125000; -0.458847; -0.874191;
0.881044; 0.110611; -0.452225; -0.829971;
0.891056; 0.095856; -0.457962; -0.812790;
0.901068; 0.085403; -0.467026; -0.815002;
