timestamp; x; y; z;
0.000000; -0.036407; -0.471069; -0.879257;
0.010011; -0.038666; -0.476120; -0.894501;
0.020023; -0.049652; -0.495956; -0.936371;
0.030034; -0.061218; -0.495041; -0.949326;
0.040045; -0.036087; -0.485062; -0.947800;
0.050057; -0.026993; -0.474625; -0.942337;
0.060068; -0.039200; -0.461258; -0.922333;
0.070079; -0.067413; -0.362793; -0.945282;
0.080091; -0.035324; -0.359512; -0.919998;
0.090102; -0.021484; -0.449707; -0.904770;
0.100114; 0.031281; -0.531342; -0.974243;
0.110125; -0.009048; -0.530487; -0.927689;
0.120136; -0.061508; -0.471939; -0.766937;
0.130148; -0.128754; -0.425720; -0.780884;
0.140159; -0.174255; -0.370392; -0.811066;
0.150170; -0.183655; -0.355316; -0.846298;
0.160182; -0.171661; -0.356750; -0.858139;
0.170193; -0.178741; -0.387604; -0.895721;
0.180204; -0.137985; -0.471527; -0.888870;
0.190216; -0.090546; -0.501862; -0.839279;
0.200227; -0.085526; -0.491425; -0.847809;
0.210239; -0.124817; -0.460846; -0.883759;
0.220250; -0.185745; -0.443512; -0.881378;
0.230261; -0.215378; -0.437042; -0.838333;
0.240273; -0.183609; -0.426208; -0.792145;
0.250284; -0.132339; -0.410110; -0.867523;
0.260295; -0.129211; -0.440292; -0.944962;
0.270307; -0.136597; -0.474823; -0.939423;
0.280318; -0.101807; -0.457397; -0.926636;
0.290329; -0.059586; -0.460007; -0.942123;
0.300341; -0.013809; -0.488510; -0.948578;
0.310352; 0.018188; -0.495102; -0.934250;
0.320363; 0.036301; -0.467026; -0.913879;
0.330375; 0.039612; -0.443970; -0.891281;
0.340386; 0.014526; -0.445312; -0.862717;
0.350398; -0.023407; -0.412781; -0.837418;
0.360409; -0.070892; -0.425812; -0.847610;
0.370420; -0.024658; -0.518280; -0.841736;
0.380432; -0.023544; -0.546356; -0.876312;
0.390443; -0.050156; -0.522446; -0.929840;
0.400454; -0.013321; -0.514618; -0.933487;
0.410466; 0.020081; -0.522736; -0.905243;
0.420477; 0.036438; -0.520660; -0.883102;
0.430488; 0.050674; -0.499527; -0.875183;
0.440500; 0.061081; -0.468094; -0.879303;
0.450511; 0.065613; -0.447174; -0.885742;
0.460522; 0.048004; -0.426132; -0.869400;
0.470534; 0.049500; -0.424225; -0.842819;
0.480545; 0.055115; -0.429977; -0.889038;
0.490557; 0.053467; -0.414429; -0.917938;
0.500568; 0.045319; -0.422623; -0.882828;
0.510579; 0.030548; -0.426361; -0.873169;
0.520591; 0.024429; -0.433777; -0.893188;
0.530602; 0.023834; -0.448364; -0.917847;
0.540613; 0.027481; -0.444656; -0.923920;
0.550625; 0.020752; -0.436295; -0.923096;
0.560636; 0.006409; -0.451477; -0.935272;
0.570647; 0.001434; -0.452408; -0.937119;
0.580659; 0.007706; -0.446243; -0.935684;
