timestamp; x; y; z;
0.000000; 0.263596; -0.725708; -0.698090;
0.010011; 0.278015; -0.727386; -0.674026;
0.020023; 0.273590; -0.731506; -0.626755;
0.030034; 0.264740; -0.718216; -0.590088;
0.040046; 0.243240; -0.720093; -0.557388;
0.050058; 0.215118; -0.732986; -0.534424;
0.060069; 0.183487; -0.755692; -0.520004;
0.070081; 0.183441; -0.754822; -0.573456;
0.080092; 0.205002; -0.711334; -0.653809;
0.090104; 0.205872; -0.677277; -0.704773;
0.100115; 0.213547; -0.665115; -0.714798;
0.110127; 0.197372; -0.654892; -0.693314;
0.120139; 0.171387; -0.665466; -0.651306;
0.130150; 0.153641; -0.675400; -0.622681;
0.140162; 0.132950; -0.700867; -0.601562;
0.150173; 0.114929; -0.758331; -0.596024;
0.160185; 0.108871; -0.807419; -0.598450;
0.170197; 0.128250; -0.834076; -0.600174;
0.180208; 0.171661; -0.824234; -0.611923;
0.190220; 0.213013; -0.781479; -0.627563;
0.200231; 0.221909; -0.717346; -0.658173;
0.210243; 0.288101; -0.599396; -0.781845;
0.220255; 0.358261; -0.489059; -0.953659;
0.230266; 0.322922; -0.451889; -1.011948;
0.240278; 0.252930; -0.481766; -0.959656;
0.250289; 0.168259; -0.506500; -0.875183;
0.260301; 0.098511; -0.508408; -0.782501;
0.270312; 0.038025; -0.532806; -0.695007;
0.280324; -0.023666; -0.581482; -0.661041;
0.290336; -0.045761; -0.615616; -0.664017;
0.300347; -0.023438; -0.626938; -0.708389;
0.310359; 0.052032; -0.609406; -0.800888;
0.320370; 0.151978; -0.543777; -0.895599;
0.330382; 0.211029; -0.509918; -0.932816;
0.340393; 0.216782; -0.545288; -0.931290;
0.350405; 0.191574; -0.620483; -0.903137;
0.360417; 0.177017; -0.687378; -0.848999;
0.370428; 0.166916; -0.721725; -0.808731;
0.380440; 0.168884; -0.739960; -0.793167;
0.390451; 0.179428; -0.737396; -0.793411;
0.400463; 0.183624; -0.746201; -0.820831;
0.410475; 0.194473; -0.773361; -0.852463;
0.420486; 0.214066; -0.789215; -0.900269;
0.430498; 0.223511; -0.778061; -0.962738;
0.440509; 0.247971; -0.718658; -0.978653;
0.450521; 0.252167; -0.663757; -0.942093;
0.460533; 0.215118; -0.646820; -0.904465;
0.470544; 0.169510; -0.640381; -0.821655;
0.480556; 0.111816; -0.647476; -0.741760;
0.490567; 0.119080; -0.580963; -0.728409;
0.500579; 0.150894; -0.484375; -0.706772;
0.510590; 0.147690; -0.446121; -0.664948;
0.520602; 0.088226; -0.455444; -0.647827;
0.530614; -0.017639; -0.535843; -0.576675;
0.540625; -0.107437; -0.649460; -0.516907;
0.550637; -0.128632; -0.669586; -0.560074;
0.560648; -0.070175; -0.627670; -0.631149;
0.570660; 0.069580; -0.557465; -0.673706;
0.580671; 0.175461; -0.486847; -0.697662;
0.590683; 0.167068; -0.528534; -0.697647;
0.600695; 0.119507; -0.620987; -0.714508;
0.610706; 0.077484; -0.697754; -0.755005;
0.620718; 0.070770; -0.735474; -0.784851;
0.630729; 0.099045; -0.709167; -0.821579;
0.640741; 0.157074; -0.655060; -0.884277;
0.650753; 0.198059; -0.614410; -0.912903;
0.660764; 0.198822; -0.628952; -0.909760;
0.670776; 0.191833; -0.663010; -0.912140;
0.680787; 0.219513; -0.633408; -0.877106;
0.690799; 0.195312; -0.627579; -0.819626;
0.700810; 0.125305; -0.673798; -0.764938;
0.710822; 0.100327; -0.699570; -0.710022;
0.720834; 0.084503; -0.697998; -0.670029;
0.730845; 0.051682; -0.701172; -0.668381;
0.740857; 0.037567; -0.697403; -0.692871;
0.750868; 0.018448; -0.684525; -0.729095;
