timestamp; x; y; z;
0.000000; 0.080627; -0.420151; -0.958206;
0.010011; 0.075836; -0.406250; -0.950638;
0.020023; 0.074142; -0.400070; -0.943558;
0.030034; 0.070633; -0.409103; -0.939224;
0.040046; 0.064133; -0.417664; -0.935776;
0.050057; 0.066452; -0.412827; -0.927002;
0.060068; 0.071686; -0.401596; -0.919846;
0.070080; 0.084763; -0.396011; -0.915665;
0.080091; 0.083664; -0.398315; -0.901215;
0.090102; 0.067673; -0.405777; -0.889008;
0.100114; 0.051971; -0.407013; -0.877136;
0.110125; 0.035660; -0.395554; -0.882477;
0.120137; 0.041718; -0.381943; -0.894989;
0.130148; 0.053772; -0.384583; -0.897354;
0.140159; 0.055069; -0.400269; -0.900818;
0.150171; 0.028458; -0.418106; -0.921860;
0.160182; -0.000549; -0.437103; -0.930466;
0.170194; -0.025055; -0.440994; -0.911728;
0.180205; -0.025543; -0.453705; -0.909149;
0.190216; 0.010529; -0.453125; -0.922363;
0.200228; 0.045120; -0.447647; -0.960236;
0.210239; 0.067810; -0.438828; -0.981720;
0.220251; 0.083038; -0.412766; -0.981644;
0.230262; 0.044601; -0.401810; -0.942810;
0.240273; -0.051254; -0.414871; -0.836487;
0.250285; -0.188293; -0.413971; -0.774933;
0.260296; -0.153381; -0.368423; -0.815338;
0.270307; -0.072250; -0.399841; -0.821976;
0.280319; -0.059006; -0.479980; -0.758713;
0.290330; -0.084808; -0.571381; -0.710419;
0.300342; -0.103973; -0.625092; -0.766861;
0.310353; -0.119888; -0.629089; -0.932953;
0.320364; -0.158371; -0.555542; -1.073410;
0.330376; -0.156860; -0.459122; -1.016083;
0.340387; -0.131989; -0.405594; -0.956650;
0.350399; -0.094131; -0.389557; -0.990326;
0.360410; -0.034546; -0.389893; -0.951569;
0.370421; -0.026932; -0.406815; -0.898392;
0.380433; -0.036163; -0.413086; -0.919342;
0.390444; -0.023468; -0.417252; -0.930496;
0.400456; -0.009216; -0.434006; -0.931747;
0.410467; -0.010712; -0.440598; -0.913010;
0.420478; -0.023590; -0.424393; -0.884644;
0.430490; -0.021835; -0.403290; -0.853897;
0.440501; -0.033203; -0.400665; -0.855865;
0.450513; -0.052353; -0.414093; -0.891708;
0.460524; -0.058990; -0.416092; -0.926331;
0.470535; -0.031296; -0.416336; -0.955429;
0.480547; -0.003754; -0.459442; -0.879883;
0.490558; -0.008224; -0.557449; -0.898956;
0.500569; 0.004318; -0.545425; -0.988007;
0.510581; -0.007751; -0.461273; -0.920319;
0.520592; -0.009384; -0.397003; -0.862244;
