timestamp; x; y; z;
0.000000; 0.185608; -0.439407; -1.022400;
0.010011; 0.158295; -0.434128; -0.957870;
0.020022; 0.129028; -0.446762; -0.909164;
0.030033; 0.120514; -0.451370; -0.866516;
0.040044; 0.116486; -0.453049; -0.825714;
0.050056; 0.106201; -0.469208; -0.808609;
0.060067; 0.101059; -0.489349; -0.803406;
0.070078; 0.106506; -0.497345; -0.808578;
0.080089; 0.114960; -0.499832; -0.829254;
0.090100; 0.124191; -0.501785; -0.853989;
0.100111; 0.133224; -0.497635; -0.867401;
0.110122; 0.138092; -0.490219; -0.880249;
0.120134; 0.138901; -0.489609; -0.889420;
0.130145; 0.136108; -0.498352; -0.897766;
0.140156; 0.136246; -0.504044; -0.900543;
0.150167; 0.138275; -0.497803; -0.895996;
0.160178; 0.135941; -0.488098; -0.887680;
0.170189; 0.130905; -0.485229; -0.871933;
0.180201; 0.123230; -0.486313; -0.854721;
0.190212; 0.117401; -0.486588; -0.839996;
0.200223; 0.115967; -0.486649; -0.830673;
0.210234; 0.114929; -0.491302; -0.834106;
0.220245; 0.110428; -0.497543; -0.844971;
0.230256; 0.113052; -0.500000; -0.851547;
0.240267; 0.116211; -0.494354; -0.857269;
0.250279; 0.117706; -0.486755; -0.869553;
0.260290; 0.117630; -0.481888; -0.878860;
0.270301; 0.111069; -0.479813; -0.884476;
0.280312; 0.107224; -0.474167; -0.885529;
0.290323; 0.108276; -0.468857; -0.883972;
0.300334; 0.106476; -0.469910; -0.884598;
0.310346; 0.101990; -0.473846; -0.889328;
0.320357; 0.101212; -0.473358; -0.886948;
0.330368; 0.102081; -0.468536; -0.879883;
0.340381; 0.100647; -0.467087; -0.874832;
0.350392; 0.097290; -0.467957; -0.873001;
0.360403; 0.095856; -0.470428; -0.875259;
0.370414; 0.091583; -0.472687; -0.882401;
0.380426; 0.091217; -0.469833; -0.885361;
0.390437; 0.094162; -0.464554; -0.885895;
0.400448; 0.096466; -0.461700; -0.892517;
0.410459; 0.097107; -0.462555; -0.899033;
0.420470; 0.096573; -0.467224; -0.895462;
0.430481; 0.093109; -0.469543; -0.886856;
0.440493; 0.090744; -0.467270; -0.874619;
0.450504; 0.091599; -0.465790; -0.860138;
0.460515; 0.096436; -0.462708; -0.851547;
0.470526; 0.100784; -0.467789; -0.854752;
0.480537; 0.077667; -0.501709; -0.870483;
0.490548; 0.067032; -0.531113; -0.879501;
0.500559; 0.095932; -0.516739; -0.873413;
0.510571; 0.127594; -0.491302; -0.867035;
0.520582; 0.135895; -0.485916; -0.864960;
0.530593; 0.134109; -0.478760; -0.868774;
0.540604; 0.132767; -0.467453; -0.875443;
0.550615; 0.133438; -0.467896; -0.877563;
0.560626; 0.129196; -0.480591; -0.873260;
0.570638; 0.114258; -0.501602; -0.868393;
0.580649; 0.097504; -0.522247; -0.865952;
0.590660; 0.097809; -0.527237; -0.855270;
0.600671; 0.110199; -0.520126; -0.848785;
0.610682; 0.118179; -0.513474; -0.849945;
0.620693; 0.122345; -0.504318; -0.856842;
0.630704; 0.126999; -0.496414; -0.866241;
0.640716; 0.129974; -0.493149; -0.881378;
0.650727; 0.128220; -0.492798; -0.894028;
0.660738; 0.127472; -0.490341; -0.903976;
0.670749; 0.124069; -0.482742; -0.907333;
0.680760; 0.119125; -0.475876; -0.901443;
0.690771; 0.118759; -0.470001; -0.888580;
0.700783; 0.117828; -0.465714; -0.877167;
0.710794; 0.117493; -0.467789; -0.864197;
0.720805; 0.115204; -0.476257; -0.857513;
0.730816; 0.115234; -0.484787; -0.853180;
0.740827; 0.119659; -0.493835; -0.847961;
0.750838; 0.121994; -0.500168; -0.849823;
0.760850; 0.126251; -0.503220; -0.856903;
0.770861; 0.132584; -0.504532; -0.865158;
0.780872; 0.138000; -0.504898; -0.878265;
0.790883; 0.139755; -0.505798; -0.888901;
0.800894; 0.142654; -0.505371; -0.888794;
0.810905; 0.143555; -0.502289; -0.884171;
0.820916; 0.137924; -0.502167; -0.877365;
0.830928; 0.129898; -0.505051; -0.865936;
0.840939; 0.122070; -0.507828; -0.856049;
0.850950; 0.117188; -0.508972; -0.848129;
0.860961; 0.111954; -0.509430; -0.845993;
0.870972; 0.111786; -0.506424; -0.847672;
0.880983; 0.115952; -0.499191; -0.848679;
0.890995; 0.118576; -0.494080; -0.854614;
0.901006; 0.118927; -0.491943; -0.865982;
0.911017; 0.118805; -0.489731; -0.878784;
0.921028; 0.120071; -0.485672; -0.890808;
0.931039; 0.121521; -0.479996; -0.895355;
0.941050; 0.120026; -0.476822; -0.898529;
0.951062; 0.115860; -0.474319; -0.894012;
0.961073; 0.112381; -0.473801; -0.885132;
0.971084; 0.109695; -0.474747; -0.876434;
0.981095; 0.108154; -0.478775; -0.868149;
0.991106; 0.107040; -0.482193; -0.862350;
1.001117; 0.106445; -0.485703; -0.859634;
1.011128; 0.107468; -0.486404; -0.858734;
1.021140; 0.109390; -0.485367; -0.860062;
1.031151; 0.115234; -0.483353; -0.865280;
1.041162; 0.120697; -0.482864; -0.873581;
1.051173; 0.126114; -0.487457; -0.882599;
1.061184; 0.129700; -0.490448; -0.888763;
1.071195; 0.132675; -0.490784; -0.889709;
1.081207; 0.133942; -0.489258; -0.885117;
1.091218; 0.132385; -0.489243; -0.876465;
1.101229; 0.130081; -0.489090; -0.867310;
1.111240; 0.128250; -0.490906; -0.862137;
1.121251; 0.125061; -0.494400; -0.859406;
1.131262; 0.124146; -0.497757; -0.856400;
1.141274; 0.124557; -0.500137; -0.857651;
1.151285; 0.125549; -0.501968; -0.860489;
1.161296; 0.125244; -0.504700; -0.864166;
1.171307; 0.124786; -0.509308; -0.870026;
1.181318; 0.125900; -0.506027; -0.874832;
1.191329; 0.124847; -0.499481; -0.874496;
1.201340; 0.123276; -0.493011; -0.872910;
1.211352; 0.121414; -0.487579; -0.870270;
1.221363; 0.116119; -0.485840; -0.870895;
1.231374; 0.114075; -0.484314; -0.872650;
1.241385; 0.111740; -0.482361; -0.873810;
1.251396; 0.110764; -0.479111; -0.875671;
1.261407; 0.110611; -0.477432; -0.874573;
1.271419; 0.112595; -0.477844; -0.874680;
1.281430; 0.114227; -0.480865; -0.875626;
1.291441; 0.114670; -0.485687; -0.874908;
1.301452; 0.115845; -0.490891; -0.871765;
1.311463; 0.118484; -0.491516; -0.867859;
1.321474; 0.121155; -0.493042; -0.865738;
1.331485; 0.122467; -0.493729; -0.862335;
1.341496; 0.126053; -0.494659; -0.860428;
1.351507; 0.127350; -0.498062; -0.862488;
1.361518; 0.128754; -0.499725; -0.865677;
1.371529; 0.131699; -0.499451; -0.868240;
1.381540; 0.134537; -0.498535; -0.871185;
1.391551; 0.134308; -0.498199; -0.870316;
1.401563; 0.134918; -0.497711; -0.871918;
1.411574; 0.133942; -0.498215; -0.871338;
1.421585; 0.131592; -0.499100; -0.869049;
1.431596; 0.129578; -0.500351; -0.867340;
1.441607; 0.127182; -0.500381; -0.863464;
1.451618; 0.125778; -0.496002; -0.861572;
1.461630; 0.123734; -0.493683; -0.864639;
1.471641; 0.122940; -0.492599; -0.868011;
1.481652; 0.122101; -0.491455; -0.872147;
1.491663; 0.119781; -0.488739; -0.878189;
1.501674; 0.118408; -0.485703; -0.879761;
1.511685; 0.119141; -0.483124; -0.879089;
1.521696; 0.118073; -0.480621; -0.878891;
1.531708; 0.117783; -0.478897; -0.878128;
1.541719; 0.118835; -0.477600; -0.873932;
1.551730; 0.118851; -0.480545; -0.871445;
1.561741; 0.116516; -0.484985; -0.871063;
1.571752; 0.117096; -0.489319; -0.871445;
1.581763; 0.118668; -0.492706; -0.870667;
1.591775; 0.118271; -0.495285; -0.869705;
1.601786; 0.119598; -0.496155; -0.871140;
1.611797; 0.126648; -0.515289; -0.890030;
1.621808; 0.137878; -0.509064; -0.876053;
1.631819; 0.141953; -0.508728; -0.865921;
1.641830; 0.136810; -0.508286; -0.856995;
1.651842; 0.136536; -0.499359; -0.838715;
1.661853; 0.128845; -0.502930; -0.853699;
1.671864; 0.127838; -0.511642; -0.868042;
1.681875; 0.128738; -0.520584; -0.879272;
1.691886; 0.133713; -0.511826; -0.881012;
1.701897; 0.132828; -0.497192; -0.871384;
1.711908; 0.123505; -0.484375; -0.867676;
1.721920; 0.113785; -0.470337; -0.864807;
1.731931; 0.106705; -0.462723; -0.864868;
1.741942; 0.100998; -0.460541; -0.866623;
1.751953; 0.095352; -0.455170; -0.879135;
1.761964; 0.094650; -0.450012; -0.886078;
1.771976; 0.091934; -0.458069; -0.885178;
1.781987; 0.091187; -0.467896; -0.886093;
1.791998; 0.097580; -0.477402; -0.889450;
1.802009; 0.103912; -0.488129; -0.887863;
1.812020; 0.113159; -0.493713; -0.882156;
1.822031; 0.121674; -0.493668; -0.881348;
1.832042; 0.127350; -0.491684; -0.879379;
1.842054; 0.130005; -0.493332; -0.876953;
1.852065; 0.126251; -0.495773; -0.872116;
1.862076; 0.122787; -0.494781; -0.865814;
1.872087; 0.119614; -0.491531; -0.865753;
1.882098; 0.119568; -0.491119; -0.869293;
1.892109; 0.121567; -0.488556; -0.870743;
1.902121; 0.119583; -0.485779; -0.873581;
1.912132; 0.116516; -0.483475; -0.874771;
1.922143; 0.113754; -0.485809; -0.875412;
1.932154; 0.112213; -0.490372; -0.871887;
1.942165; 0.112762; -0.492294; -0.867813;
1.952176; 0.114014; -0.493561; -0.866501;
1.962187; 0.115372; -0.495499; -0.866852;
1.972199; 0.115982; -0.496140; -0.865768;
1.982210; 0.115845; -0.496017; -0.866455;
1.992221; 0.113647; -0.494644; -0.872696;
2.002232; 0.113297; -0.492752; -0.875534;
2.012243; 0.111893; -0.487366; -0.872513;
2.022254; 0.108032; -0.481873; -0.871384;
2.032266; 0.105942; -0.480698; -0.873901;
2.042277; 0.107315; -0.481400; -0.879608;
2.052288; 0.106216; -0.481689; -0.881241;
2.062299; 0.106796; -0.482086; -0.882965;
2.072310; 0.109665; -0.482117; -0.884796;
2.082321; 0.109360; -0.482635; -0.883194;
2.092333; 0.107178; -0.480087; -0.881256;
2.102344; 0.108673; -0.474258; -0.878860;
2.112355; 0.103577; -0.472977; -0.875900;
2.122366; 0.097382; -0.472977; -0.872391;
2.132377; 0.097275; -0.473297; -0.868134;
2.142388; 0.097763; -0.476044; -0.865448;
2.152399; 0.098495; -0.485611; -0.864777;
2.162411; 0.105331; -0.489594; -0.868866;
2.172422; 0.112793; -0.490829; -0.873856;
2.182433; 0.118454; -0.497086; -0.877335;
2.192444; 0.118439; -0.503571; -0.881866;
2.202455; 0.120529; -0.504715; -0.882294;
2.212466; 0.122070; -0.503067; -0.879333;
2.222478; 0.121017; -0.498138; -0.874237;
2.232489; 0.114761; -0.494141; -0.870193;
2.242500; 0.109314; -0.490677; -0.863815;
2.252511; 0.107224; -0.486984; -0.861862;
2.262522; 0.105423; -0.489334; -0.863922;
2.272533; 0.102539; -0.491089; -0.869156;
2.282545; 0.106155; -0.487915; -0.872345;
2.292556; 0.108109; -0.487442; -0.874069;
2.302567; 0.109222; -0.488037; -0.871902;
2.312578; 0.108810; -0.488388; -0.872803;
2.322589; 0.108612; -0.489777; -0.872406;
2.332600; 0.106659; -0.492081; -0.872253;
2.342612; 0.105179; -0.490341; -0.873184;
2.352623; 0.105576; -0.487381; -0.875549;
2.362634; 0.106644; -0.486328; -0.881073;
2.372645; 0.106400; -0.485138; -0.881897;
2.382656; 0.105408; -0.485092; -0.879288;
2.392667; 0.104553; -0.482681; -0.873505;
2.402678; 0.099396; -0.479538; -0.869003;
2.412690; 0.097076; -0.480011; -0.867569;
2.422701; 0.098907; -0.483139; -0.868454;
2.432712; 0.101089; -0.487885; -0.872482;
2.442723; 0.105225; -0.491684; -0.874222;
2.452734; 0.112305; -0.495346; -0.876923;
2.462745; 0.117798; -0.496262; -0.877472;
2.472757; 0.121048; -0.495102; -0.877426;
2.482768; 0.121323; -0.494446; -0.879044;
2.492779; 0.118271; -0.494049; -0.875137;
2.502790; 0.116699; -0.494034; -0.871307;
2.512801; 0.112335; -0.494934; -0.871811;
2.522812; 0.109131; -0.494675; -0.871887;
2.532824; 0.109116; -0.493744; -0.872665;
2.542835; 0.107742; -0.490570; -0.870621;
2.552846; 0.103577; -0.486786; -0.867523;
2.562857; 0.099533; -0.484131; -0.868637;
2.572868; 0.099762; -0.483093; -0.869843;
2.582879; 0.101669; -0.484879; -0.875458;
2.592891; 0.105530; -0.487564; -0.879700;
2.602902; 0.105911; -0.488007; -0.879623;
2.612913; 0.107239; -0.487228; -0.878311;
2.622924; 0.108826; -0.488312; -0.876175;
2.632935; 0.108536; -0.489517; -0.874084;
2.642946; 0.107819; -0.489395; -0.872040;
2.652958; 0.106369; -0.488785; -0.869141;
2.662969; 0.105896; -0.486877; -0.865601;
2.672980; 0.105865; -0.488800; -0.868042;
2.682991; 0.105392; -0.493332; -0.871094;
2.693002; 0.106766; -0.494263; -0.874847;
2.703013; 0.109467; -0.494644; -0.877258;
2.713024; 0.109970; -0.492432; -0.876541;
2.723036; 0.108994; -0.492477; -0.874115;
2.733047; 0.109009; -0.491974; -0.873505;
2.743058; 0.109879; -0.490036; -0.871597;
2.753069; 0.109833; -0.489319; -0.871353;
2.763080; 0.110504; -0.489334; -0.871506;
2.773091; 0.109100; -0.489532; -0.872360;
2.783103; 0.108215; -0.490936; -0.873184;
2.793114; 0.106522; -0.491562; -0.875168;
2.803125; 0.104767; -0.491867; -0.873291;
2.813136; 0.103256; -0.490692; -0.869095;
2.823147; 0.103104; -0.486542; -0.869186;
2.833158; 0.101944; -0.485336; -0.870514;
2.843169; 0.103317; -0.487625; -0.872971;
2.853181; 0.107361; -0.487595; -0.873611;
2.863192; 0.108948; -0.486420; -0.873154;
2.873203; 0.108688; -0.489105; -0.874435;
2.883214; 0.111053; -0.493286; -0.877487;
2.893225; 0.111389; -0.496399; -0.879898;
2.903236; 0.109589; -0.497437; -0.877136;
2.913248; 0.106766; -0.495956; -0.875229;
2.923259; 0.106613; -0.493362; -0.872772;
2.933270; 0.106110; -0.489609; -0.870773;
2.943281; 0.106003; -0.487381; -0.868881;
2.953292; 0.105362; -0.488464; -0.869537;
2.963303; 0.104660; -0.486923; -0.870987;
2.973315; 0.104553; -0.485794; -0.870605;
2.983326; 0.104462; -0.488968; -0.871994;
2.993337; 0.105789; -0.489410; -0.875000;
3.003348; 0.105804; -0.489456; -0.876129;
3.013359; 0.106674; -0.492065; -0.877747;
3.023370; 0.106567; -0.492462; -0.877319;
3.033382; 0.107010; -0.492172; -0.873947;
3.043393; 0.105789; -0.490387; -0.870911;
3.053404; 0.103806; -0.489243; -0.869400;
3.063415; 0.103943; -0.490646; -0.868439;
3.073426; 0.103333; -0.492706; -0.874313;
3.083437; 0.101883; -0.491943; -0.878998;
3.093449; 0.096466; -0.490448; -0.881546;
3.103460; 0.088242; -0.487534; -0.891769;
3.113471; 0.082352; -0.485367; -0.899902;
3.123482; 0.084839; -0.476456; -0.894745;
3.133493; 0.091385; -0.462219; -0.888870;
3.143504; 0.091064; -0.456726; -0.882111;
3.153515; 0.089478; -0.456940; -0.870987;
3.163527; 0.087494; -0.460831; -0.863632;
3.173538; 0.080948; -0.463394; -0.860550;
3.183549; 0.084946; -0.462921; -0.877441;
3.193560; 0.094528; -0.465942; -0.888062;
3.203571; 0.099670; -0.482239; -0.897659;
3.213582; 0.101578; -0.489853; -0.897217;
3.223594; 0.100693; -0.496674; -0.891296;
3.233605; 0.098785; -0.510773; -0.886002;
3.243616; 0.104218; -0.525070; -0.886810;
3.253627; 0.104263; -0.518845; -0.881409;
3.263638; 0.105789; -0.503555; -0.880875;
3.273649; 0.111420; -0.496429; -0.876266;
3.283661; 0.109421; -0.493866; -0.873016;
3.293672; 0.102829; -0.498276; -0.865585;
3.303683; 0.096146; -0.506119; -0.857407;
3.313694; 0.097000; -0.507980; -0.847900;
3.323705; 0.092789; -0.510559; -0.847046;
3.333716; 0.092026; -0.518188; -0.845795;
3.343728; 0.095963; -0.521637; -0.846222;
3.353739; 0.100357; -0.522720; -0.848999;
3.363750; 0.109100; -0.523285; -0.851135;
3.373761; 0.116196; -0.518188; -0.856430;
3.383772; 0.127319; -0.516083; -0.858795;
3.393783; 0.124863; -0.517044; -0.849380;
3.403795; 0.135040; -0.517395; -0.853989;
3.413806; 0.137802; -0.514114; -0.856659;
3.423817; 0.125900; -0.505981; -0.862091;
3.433828; 0.116318; -0.495972; -0.863480;
