timestamp; x; y; z;
0.000000; 0.047272; -0.576874; -0.822571;
0.010011; 0.055511; -0.589706; -0.836273;
0.020023; 0.075943; -0.594925; -0.852371;
0.030034; 0.097626; -0.586823; -0.851334;
0.040046; 0.101868; -0.569672; -0.853256;
0.050057; 0.099777; -0.551941; -0.863235;
0.060069; 0.085785; -0.534790; -0.865402;
0.070081; 0.062088; -0.520432; -0.872009;
0.080092; 0.046143; -0.510818; -0.910980;
0.090104; 0.045181; -0.506073; -0.920456;
0.100115; 0.057632; -0.509018; -0.883743;
0.110127; 0.059555; -0.510422; -0.891479;
0.120138; 0.047104; -0.486649; -0.956146;
0.130150; 0.010178; -0.440994; -0.978577;
0.140161; 0.022736; -0.474289; -0.911896;
0.150173; -0.001129; -0.514801; -0.950180;
0.160184; -0.036774; -0.527985; -0.930908;
0.170196; -0.052490; -0.518799; -0.899033;
0.180208; -0.042450; -0.486588; -0.844543;
0.190219; -0.025528; -0.466309; -0.811600;
0.200231; -0.017273; -0.489944; -0.793854;
0.210242; -0.018066; -0.530853; -0.792587;
0.220254; -0.023163; -0.575729; -0.759995;
0.230265; -0.024826; -0.607025; -0.740387;
0.240277; -0.010147; -0.641800; -0.750519;
0.250288; -0.021393; -0.645035; -0.776016;
0.260300; -0.053375; -0.572540; -0.810364;
0.270311; -0.033127; -0.483658; -0.778900;
0.280323; -0.010025; -0.447067; -0.735947;
0.290335; -0.056183; -0.492172; -0.772324;
0.300346; -0.074188; -0.520996; -0.796936;
0.310358; -0.069046; -0.518143; -0.805008;
0.320369; -0.062088; -0.529068; -0.839676;
0.330381; -0.060257; -0.533981; -0.872238;
0.340392; -0.033005; -0.576920; -0.935471;
0.350404; 0.061066; -0.661469; -0.863495;
0.360415; 0.096359; -0.632965; -0.817810;
0.370427; 0.071106; -0.495850; -0.883133;
0.380438; 0.048752; -0.460098; -0.920609;
0.390450; 0.050629; -0.480896; -0.888550;
0.400462; 0.037521; -0.482391; -0.855408;
0.410473; -0.020325; -0.481125; -0.838562;
0.420485; -0.064178; -0.514465; -0.887741;
0.430496; -0.059326; -0.562256; -1.035843;
0.440508; -0.068314; -0.565338; -0.984848;
0.450519; -0.080688; -0.506165; -0.853241;
0.460531; 0.005386; -0.502029; -0.868073;
0.470542; 0.103424; -0.532135; -0.948074;
0.480554; 0.130707; -0.519699; -0.923279;
0.490565; 0.112061; -0.501053; -0.873642;
0.500577; 0.102173; -0.505447; -0.844391;
0.510589; 0.073944; -0.505997; -0.856857;
0.520600; 0.029831; -0.505280; -0.890778;
0.530612; 0.004532; -0.508621; -0.905029;
0.540623; -0.005188; -0.512039; -0.896606;
0.550635; -0.016251; -0.510971; -0.899170;
0.560646; -0.024841; -0.514160; -0.896896;
0.570658; -0.039841; -0.522079; -0.886078;
0.580669; -0.037231; -0.520691; -0.898880;
0.590681; -0.011612; -0.518387; -0.901413;
0.600693; 0.012970; -0.523773; -0.895828;
0.610704; 0.029449; -0.525040; -0.894821;
