timestamp; x; y; z;
0.000000; 0.152695; -0.638000; -0.831924;
0.010011; 0.146530; -0.626740; -0.823181;
0.020023; 0.143860; -0.613251; -0.822006;
0.030035; 0.138931; -0.599472; -0.825668;
0.040047; 0.140259; -0.586533; -0.832336;
0.050058; 0.143066; -0.584366; -0.836365;
0.060070; 0.137146; -0.595215; -0.845657;
0.070082; 0.133728; -0.597137; -0.863998;
0.080094; 0.139908; -0.599792; -0.875061;
0.090105; 0.130219; -0.612442; -0.870743;
0.100117; 0.123688; -0.600571; -0.848175;
0.110129; 0.117813; -0.583069; -0.818604;
0.120141; 0.100021; -0.576904; -0.797241;
0.130152; 0.082291; -0.571304; -0.787125;
0.140164; 0.072540; -0.558899; -0.776276;
0.150176; 0.064743; -0.550674; -0.770691;
0.160187; 0.055435; -0.549057; -0.771133;
0.170199; 0.052628; -0.551544; -0.760727;
0.180211; 0.070694; -0.559479; -0.779343;
0.190223; 0.107590; -0.562103; -0.831116;
0.200235; 0.129608; -0.576920; -0.880264;
0.210246; 0.140793; -0.604355; -0.891830;
0.220258; 0.137924; -0.633759; -0.896744;
0.230270; 0.127548; -0.645218; -0.884537;
0.240282; 0.118820; -0.641342; -0.858139;
0.250293; 0.116638; -0.619064; -0.843719;
0.260305; 0.112411; -0.588684; -0.832169;
0.270317; 0.095474; -0.571075; -0.821594;
0.280328; 0.078552; -0.557800; -0.823563;
0.290340; 0.061111; -0.549759; -0.813782;
0.300352; 0.044647; -0.546051; -0.798141;
0.310364; 0.031555; -0.532745; -0.802261;
0.320375; 0.017212; -0.526276; -0.804810;
0.330387; 0.003677; -0.522949; -0.798370;
0.340399; -0.006775; -0.518097; -0.810043;
0.350411; -0.012863; -0.510941; -0.839630;
0.360423; -0.024628; -0.504395; -0.867554;
0.370434; -0.040283; -0.498001; -0.886795;
0.380446; -0.050079; -0.483643; -0.894241;
0.390458; -0.054459; -0.461014; -0.885941;
0.400469; -0.060425; -0.443771; -0.865997;
0.410481; -0.071075; -0.446426; -0.858505;
0.420493; -0.063278; -0.446228; -0.856247;
