timestamp; x; y; z;
0.000000; 0.201324; -0.567947; -0.849075;
0.010012; 0.198380; -0.542664; -0.810669;
0.020023; 0.144150; -0.510452; -0.816391;
0.030035; 0.087753; -0.492828; -0.840134;
0.040046; 0.063324; -0.473923; -0.887192;
0.050058; 0.052673; -0.453445; -0.913239;
0.060070; 0.046341; -0.447845; -0.888565;
0.070081; 0.056656; -0.442490; -0.872314;
0.080093; 0.058701; -0.438217; -0.871063;
0.090105; 0.068787; -0.446823; -0.879059;
0.100116; 0.091324; -0.469879; -0.892487;
0.110128; 0.101822; -0.492935; -0.903564;
0.120139; 0.107346; -0.492569; -0.893845;
0.130151; 0.191605; -0.415390; -0.853653;
0.140163; 0.134537; -0.411530; -0.899155;
0.150174; 0.038391; -0.423218; -0.883896;
0.160186; -0.011337; -0.364761; -0.848251;
0.170197; -0.029922; -0.353561; -0.871750;
0.180209; -0.014587; -0.395798; -0.826660;
0.190221; -0.021133; -0.409973; -0.768188;
0.200232; -0.069458; -0.432785; -0.809204;
0.210244; -0.135742; -0.448639; -0.827408;
0.220255; -0.192795; -0.476334; -0.827896;
0.230267; -0.232330; -0.535522; -0.863220;
0.240281; -0.226639; -0.584488; -0.888687;
0.250292; -0.170029; -0.616867; -0.901443;
0.260304; -0.102905; -0.594345; -0.881500;
0.270316; -0.061188; -0.568237; -0.834442;
0.280327; -0.082962; -0.580643; -0.914124;
0.290339; -0.088867; -0.556000; -0.903778;
0.300350; -0.045624; -0.517914; -0.824554;
0.310362; -0.018600; -0.528778; -0.842255;
0.320374; -0.018616; -0.550522; -0.850281;
0.330385; -0.037048; -0.570496; -0.822037;
0.340397; -0.052429; -0.572937; -0.809097;
0.350408; -0.027725; -0.556335; -0.817932;
0.360420; 0.017487; -0.559601; -0.838608;
0.370432; 0.006958; -0.573318; -0.850861;
0.380443; 0.003250; -0.569214; -0.814056;
0.390455; 0.025848; -0.559402; -0.801376;
0.400466; 0.022339; -0.598953; -0.790833;
0.410478; 0.029694; -0.610519; -0.793427;
0.420490; 0.063675; -0.619614; -0.772797;
0.430501; 0.081421; -0.621536; -0.726486;
0.440513; 0.087708; -0.618134; -0.711090;
0.450524; 0.097717; -0.649750; -0.710754;
0.460536; 0.093643; -0.744797; -0.767929;
0.470548; 0.090317; -0.798874; -0.779266;
0.480559; 0.122086; -0.834778; -0.778275;
0.490571; 0.168213; -0.846802; -0.833939;
0.500583; 0.176437; -0.793472; -0.852798;
0.510594; 0.145340; -0.726852; -0.890533;
0.520606; 0.066986; -0.659607; -1.006744;
0.530617; -0.049377; -0.555008; -1.087234;
0.540629; -0.172226; -0.455124; -1.013535;
0.550641; -0.224808; -0.358215; -0.911179;
0.560652; -0.146957; -0.272095; -0.900604;
0.570664; 0.046753; -0.345917; -0.860718;
0.580675; 0.151001; -0.475327; -0.862076;
0.590687; 0.139328; -0.494293; -0.930801;
0.600699; 0.128815; -0.400574; -0.952698;
0.610710; 0.166306; -0.307693; -0.852173;
0.620722; 0.145615; -0.296631; -0.790359;
0.630733; -0.150085; -0.422485; -1.129150;
0.640745; -0.460739; -0.520844; -1.250824;
0.650757; -0.402817; -0.546844; -1.042175;
0.660768; -0.195786; -0.520935; -1.048691;
0.670780; -0.128998; -0.433929; -1.063461;
0.680792; -0.199005; -0.419174; -1.022232;
0.690803; -0.306442; -0.474030; -0.855301;
0.700815; -0.362198; -0.570572; -0.712631;
0.710826; -0.437592; -0.603943; -0.647324;
0.720838; -0.528900; -0.544037; -0.640839;
0.730850; -0.570251; -0.407883; -0.687057;
0.740861; -0.448883; -0.242844; -0.696335;
0.750873; -0.289078; -0.134537; -0.711563;
0.760884; 0.131027; 0.041077; -0.680817;
0.770896; 0.672836; 0.235718; -0.735077;
0.780908; 0.627213; 0.209579; -1.179428;
0.790919; -0.162979; -0.145935; -1.349747;
0.800931; -0.603256; -0.319992; -0.984161;
0.810942; -0.511047; -0.367355; -0.967911;
0.820954; -0.326263; -0.319717; -1.117264;
0.830966; -0.176300; -0.262436; -1.197372;
0.840977; -0.186356; -0.228699; -1.202347;
0.850989; -0.321030; -0.269623; -1.191467;
0.861001; -0.372437; -0.346741; -1.101105;
0.871012; -0.393265; -0.380905; -1.007584;
0.881024; -0.402344; -0.421448; -0.937378;
0.891035; -0.313690; -0.450714; -0.991867;
0.901047; -0.298981; -0.406891; -0.974976;
0.911059; -0.354401; -0.375061; -0.927246;
0.921070; -0.343704; -0.347321; -1.003967;
0.931082; -0.243271; -0.329880; -1.006424;
0.941093; -0.292725; -0.414078; -0.790756;
0.951105; -0.415298; -0.478394; -0.709976;
0.961117; -0.386993; -0.469116; -0.839615;
0.971128; -0.351807; -0.520386; -0.848999;
0.981140; -0.383118; -0.528229; -0.735458;
0.991151; -0.391327; -0.499680; -0.700912;
1.001163; -0.339294; -0.493652; -0.743591;
1.011175; -0.224442; -0.480194; -0.736862;
1.021186; -0.096634; -0.466888; -0.678177;
1.031198; -0.059769; -0.437973; -0.652588;
1.041210; -0.093460; -0.428207; -0.700851;
1.051221; -0.194977; -0.429993; -0.718857;
1.061233; -0.295654; -0.373352; -0.805313;
1.071244; -0.346283; -0.384277; -0.885406;
1.081256; -0.356125; -0.400146; -0.922073;
1.091268; -0.339981; -0.377579; -0.969742;
1.101279; -0.281448; -0.379761; -1.001251;
1.111291; -0.208206; -0.371399; -1.000946;
1.121302; -0.131744; -0.367630; -0.973740;
1.131314; -0.044098; -0.401428; -0.930893;
1.141326; -0.062042; -0.448120; -0.877274;
1.151337; -0.163757; -0.460983; -0.843750;
1.161349; -0.263580; -0.467270; -0.860275;
1.171360; -0.335007; -0.475067; -0.879288;
1.181372; -0.353485; -0.487411; -0.874329;
1.191384; -0.329926; -0.496475; -0.845016;
1.201395; -0.287323; -0.479309; -0.862289;
1.211407; -0.241486; -0.441422; -0.877426;
1.221419; -0.207596; -0.408157; -0.865051;
1.231430; -0.184860; -0.385513; -0.880630;
1.241441; -0.118347; -0.388351; -0.896164;
1.251452; -0.140884; -0.403931; -0.843399;
1.261464; -0.234863; -0.415329; -0.822632;
1.271476; -0.313705; -0.446533; -0.833405;
1.281487; -0.347000; -0.451309; -0.849777;
1.291499; -0.321426; -0.453232; -0.864624;
1.301510; -0.286026; -0.448608; -0.868744;
1.311522; -0.236771; -0.438400; -0.901001;
1.321534; -0.188507; -0.434708; -0.913757;
1.331545; -0.165115; -0.426880; -0.899765;
1.341557; -0.145859; -0.420563; -0.881927;
1.351569; -0.123108; -0.444916; -0.875946;
1.361580; -0.122147; -0.477615; -0.820877;
1.371592; -0.173767; -0.477463; -0.804459;
1.381603; -0.237747; -0.477982; -0.805679;
1.391615; -0.310745; -0.502625; -0.776794;
1.401627; -0.334030; -0.513855; -0.802887;
1.411638; -0.336487; -0.522171; -0.818909;
1.421650; -0.321976; -0.506393; -0.825531;
1.431661; -0.294052; -0.476974; -0.858490;
1.441673; -0.255264; -0.460358; -0.861053;
1.451685; -0.221527; -0.442245; -0.870728;
1.461696; -0.200928; -0.437561; -0.878860;
1.471708; -0.094910; -0.489914; -0.830109;
1.481719; -0.076843; -0.505142; -0.796249;
1.491731; -0.163132; -0.507553; -0.762146;
1.501743; -0.278656; -0.533798; -0.760056;
1.511754; -0.371078; -0.546295; -0.778732;
1.521766; -0.398270; -0.573929; -0.810989;
1.531777; -0.393570; -0.576874; -0.817932;
1.541789; -0.357895; -0.560608; -0.828339;
1.551801; -0.316528; -0.536560; -0.841599;
1.561812; -0.287262; -0.515533; -0.849762;
1.571824; -0.258377; -0.506180; -0.847900;
1.581836; -0.244598; -0.489548; -0.862595;
1.591847; -0.206482; -0.518173; -0.851776;
1.601859; -0.233154; -0.532394; -0.828293;
1.611870; -0.299026; -0.537994; -0.826553;
1.621882; -0.371292; -0.559357; -0.823975;
1.631894; -0.408890; -0.567215; -0.839752;
1.641905; -0.397156; -0.558975; -0.846161;
1.651917; -0.355621; -0.545364; -0.832062;
1.661928; -0.311874; -0.530121; -0.832352;
1.671940; -0.267410; -0.510757; -0.829926;
1.681952; -0.241608; -0.500931; -0.820221;
1.691963; -0.232422; -0.492340; -0.810654;
1.701975; -0.214264; -0.512131; -0.801437;
1.711987; -0.227798; -0.559677; -0.757965;
1.721998; -0.283798; -0.584122; -0.753372;
1.732010; -0.372681; -0.593079; -0.780472;
1.742021; -0.427399; -0.584259; -0.796051;
1.752033; -0.424438; -0.558838; -0.844910;
1.762045; -0.386902; -0.529388; -0.854370;
1.772056; -0.308044; -0.493713; -0.856339;
1.782068; -0.232864; -0.470718; -0.869980;
1.792079; -0.157333; -0.476639; -0.847015;
1.802091; -0.121765; -0.454407; -0.847580;
1.812103; -0.107727; -0.417984; -0.863281;
1.822114; -0.047058; -0.492493; -0.851929;
1.832126; -0.082947; -0.530716; -0.810928;
1.842137; -0.213776; -0.526138; -0.813278;
1.852149; -0.343201; -0.529480; -0.810593;
1.862161; -0.339249; -0.542450; -0.791290;
1.872172; -0.350037; -0.556717; -0.814713;
1.882184; -0.303955; -0.546021; -0.823761;
1.892196; -0.259430; -0.512436; -0.837891;
1.902207; -0.214218; -0.472122; -0.846695;
1.912219; -0.137268; -0.463745; -0.843948;
1.922230; -0.079285; -0.475388; -0.821442;
1.932242; -0.077789; -0.478409; -0.816696;
1.942254; -0.097717; -0.501556; -0.800797;
1.952265; -0.099518; -0.574356; -0.769424;
1.962277; -0.170151; -0.579178; -0.756180;
1.972288; -0.243942; -0.597366; -0.732254;
1.982300; -0.307129; -0.594238; -0.730148;
1.992312; -0.331818; -0.574844; -0.751938;
2.002323; -0.314941; -0.546463; -0.762894;
2.012335; -0.283890; -0.529327; -0.781723;
2.022347; -0.238464; -0.523972; -0.807663;
2.032358; -0.199936; -0.507538; -0.824310;
2.042370; -0.160980; -0.502014; -0.833679;
2.052381; -0.122223; -0.514877; -0.836212;
2.062393; -0.099548; -0.533279; -0.833389;
2.072405; -0.123367; -0.560471; -0.812256;
2.082416; -0.188354; -0.565994; -0.822876;
2.092428; -0.277847; -0.589172; -0.789566;
2.102439; -0.347717; -0.596924; -0.789948;
2.112451; -0.350281; -0.613800; -0.799683;
2.122463; -0.318924; -0.603943; -0.786911;
2.132474; -0.266815; -0.568100; -0.799057;
2.142486; -0.207108; -0.528366; -0.817612;
2.152498; -0.161148; -0.499329; -0.847137;
2.162509; -0.133545; -0.519623; -0.866943;
2.172521; -0.127502; -0.569717; -0.880264;
2.182532; -0.142761; -0.601227; -0.866241;
