timestamp; x; y; z;
0.000000; 0.106461; -0.482498; -0.942474;
0.010011; 0.087280; -0.520523; -1.019043;
0.020023; 0.054153; -0.478699; -1.111618;
0.030035; 0.083405; -0.445633; -1.050766;
0.040047; 0.122620; -0.397018; -0.931137;
0.050058; 0.103775; -0.347565; -0.915848;
0.060070; 0.044495; -0.287186; -0.901184;
0.070082; -0.096741; -0.214172; -0.961945;
0.080093; -0.245529; -0.215530; -1.049316;
0.090105; -0.272552; -0.318604; -0.876480;
0.100117; -0.273621; -0.416367; -0.654022;
0.110128; -0.247589; -0.393173; -0.641052;
0.120140; -0.242783; -0.355728; -0.708755;
0.130152; -0.274078; -0.349564; -0.717361;
0.140163; -0.269684; -0.348953; -0.725693;
0.150175; -0.190491; -0.303482; -0.779068;
0.160187; -0.070984; -0.266525; -0.856766;
0.170199; 0.036987; -0.293411; -0.984238;
0.180210; 0.064682; -0.400238; -1.083405;
0.190222; -0.032501; -0.514572; -1.076218;
0.200234; -0.167908; -0.548599; -1.010986;
0.210245; -0.257660; -0.533432; -0.937546;
0.220257; -0.258835; -0.509216; -0.880096;
0.230269; -0.228851; -0.505875; -0.861801;
0.240280; -0.211899; -0.513550; -0.891342;
0.250292; -0.177689; -0.502029; -0.934357;
0.260304; -0.139816; -0.483994; -0.917038;
0.270315; -0.095154; -0.477249; -0.872208;
0.280327; -0.050110; -0.464142; -0.855652;
0.290339; -0.028656; -0.428833; -0.908585;
0.300351; -0.021942; -0.425339; -0.936646;
0.310362; -0.050903; -0.416092; -0.896637;
0.320374; -0.098984; -0.355652; -0.889252;
0.330386; -0.114777; -0.385590; -0.854553;
0.340397; -0.036926; -0.408127; -0.866165;
0.350409; -0.010605; -0.398605; -0.923370;
0.360421; -0.044403; -0.387878; -0.953049;
0.370432; -0.057648; -0.414505; -0.902618;
0.380444; -0.021820; -0.454880; -0.910736;
0.390456; -0.008606; -0.462280; -0.964813;
0.400468; -0.019180; -0.466614; -0.969925;
0.410479; -0.028839; -0.462021; -0.930908;
0.420491; -0.037674; -0.438187; -0.911972;
0.430503; -0.027237; -0.423965; -0.918152;
0.440514; -0.011353; -0.410202; -0.930298;
0.450526; -0.005493; -0.397415; -0.937119;
0.460538; -0.007645; -0.388901; -0.943542;
0.470549; -0.015778; -0.384857; -0.941132;
0.480561; -0.017044; -0.388443; -0.933472;
0.490573; -0.003647; -0.400009; -0.933304;
0.500584; 0.008575; -0.416870; -0.937256;
0.510596; 0.013947; -0.431747; -0.929810;
0.520608; 0.024811; -0.448303; -0.920166;
0.530620; 0.034134; -0.451614; -0.923782;
0.540631; 0.039413; -0.455643; -0.918457;
0.550643; 0.027618; -0.449249; -0.916824;
0.560655; 0.030182; -0.419128; -0.914963;
0.570666; 0.043442; -0.394241; -0.902908;
0.580678; 0.054550; -0.381592; -0.903839;
0.590690; 0.057632; -0.386169; -0.917068;
0.600701; 0.051727; -0.396240; -0.909058;
0.610713; 0.043686; -0.399292; -0.907349;
0.620725; 0.039642; -0.407394; -0.910934;
0.630736; 0.033813; -0.423447; -0.904709;
0.640748; 0.035049; -0.436691; -0.890289;
0.650760; 0.039902; -0.446945; -0.888672;
0.660772; 0.048737; -0.449356; -0.891174;
0.670783; 0.052505; -0.438446; -0.889999;
0.680795; 0.054916; -0.424774; -0.895950;
0.690807; 0.064514; -0.415924; -0.900375;
0.700818; 0.069031; -0.412140; -0.900253;
0.710830; 0.060013; -0.408005; -0.894485;
0.720842; 0.043610; -0.411926; -0.894012;
0.730853; 0.019043; -0.429459; -0.905914;
0.740865; -0.003662; -0.447693; -0.910095;
0.750877; -0.020844; -0.452408; -0.907715;
0.760888; -0.030411; -0.454636; -0.911514;
0.770900; -0.026871; -0.455704; -0.914047;
0.780912; -0.013687; -0.447845; -0.911072;
0.790924; -0.001144; -0.438171; -0.903214;
0.800935; 0.012085; -0.427994; -0.898544;
0.810947; 0.031448; -0.419083; -0.897308;
0.820959; 0.035660; -0.413330; -0.897034;
0.830970; 0.024979; -0.415482; -0.896927;
0.840982; 0.015152; -0.423950; -0.897934;
0.850994; 0.001236; -0.431122; -0.909531;
0.861005; -0.014389; -0.441620; -0.916122;
0.871017; -0.027985; -0.449417; -0.918106;
0.881029; -0.029083; -0.445908; -0.920181;
0.891040; -0.018982; -0.436768; -0.925018;
0.901052; -0.000519; -0.429016; -0.921295;
0.911064; 0.012329; -0.419724; -0.917145;
0.921076; 0.022263; -0.412735; -0.919250;
0.931087; 0.030304; -0.412064; -0.921692;
0.941099; 0.029648; -0.416336; -0.916260;
0.951111; 0.028946; -0.419724; -0.915314;
0.961122; 0.024948; -0.424072; -0.913086;
0.971134; 0.016083; -0.425598; -0.908096;
0.981146; 0.002029; -0.432343; -0.904556;
0.991157; -0.018875; -0.439377; -0.908524;
1.001169; -0.033661; -0.443405; -0.909042;
1.011181; -0.043411; -0.447052; -0.910553;
1.021193; -0.045319; -0.450653; -0.913589;
1.031204; -0.025635; -0.441544; -0.914551;
1.041216; -0.003891; -0.431244; -0.911865;
1.051228; 0.008255; -0.426208; -0.908585;
1.061239; 0.019485; -0.418381; -0.909500;
1.071251; 0.025055; -0.415253; -0.915558;
1.081263; 0.020950; -0.418884; -0.912750;
1.091274; 0.010620; -0.417542; -0.910431;
1.101286; 0.001816; -0.420441; -0.913681;
1.111298; -0.005783; -0.430756; -0.914230;
1.121309; -0.012085; -0.431915; -0.911667;
1.131321; -0.009659; -0.429398; -0.909744;
1.141333; -0.004623; -0.434509; -0.910873;
1.151345; -0.003448; -0.435333; -0.908112;
1.161356; -0.000824; -0.431961; -0.903076;
1.171368; 0.003479; -0.430191; -0.910416;
1.181380; 0.003464; -0.434387; -0.915512;
1.191391; 0.001572; -0.437378; -0.913742;
1.201403; -0.000992; -0.435013; -0.914490;
1.211415; -0.003296; -0.432388; -0.915009;
1.221426; -0.004395; -0.428528; -0.911636;
1.231438; -0.004303; -0.422928; -0.911819;
1.241450; -0.002975; -0.418671; -0.912125;
1.251462; -0.003418; -0.416962; -0.911057;
1.261473; -0.003143; -0.419312; -0.913895;
1.271485; -0.007004; -0.426834; -0.914230;
1.281497; -0.012131; -0.432068; -0.912064;
1.291508; -0.013443; -0.436325; -0.914902;
1.301520; -0.012573; -0.442276; -0.915009;
1.311532; -0.011230; -0.443329; -0.907806;
1.321543; -0.012924; -0.441757; -0.906235;
1.331555; -0.015701; -0.443390; -0.901001;
1.341567; -0.021286; -0.442368; -0.904770;
1.351579; -0.020218; -0.439438; -0.913269;
1.361590; -0.020370; -0.438110; -0.914139;
1.371602; -0.013962; -0.432709; -0.912964;
1.381614; -0.001221; -0.428391; -0.913605;
1.391625; 0.010544; -0.423126; -0.910141;
1.401637; 0.022354; -0.418579; -0.911087;
1.411649; 0.026581; -0.418335; -0.912735;
1.421660; 0.022018; -0.417984; -0.911560;
1.431672; 0.013687; -0.425186; -0.906891;
1.441684; -0.001251; -0.437729; -0.906799;
1.451695; -0.008621; -0.444397; -0.907684;
1.461707; -0.010437; -0.449890; -0.904404;
1.471719; -0.010162; -0.447449; -0.901199;
1.481730; -0.007797; -0.440155; -0.900314;
1.491742; -0.005203; -0.436768; -0.899551;
1.501754; -0.003937; -0.433670; -0.903778;
1.511766; -0.001205; -0.433014; -0.906021;
1.521777; -0.003784; -0.431335; -0.908386;
1.531789; -0.005508; -0.434280; -0.905502;
1.541801; -0.005829; -0.436020; -0.904495;
1.551812; -0.003510; -0.435623; -0.907578;
1.561824; 0.000961; -0.433899; -0.906830;
1.571836; 0.002213; -0.432343; -0.905106;
1.581847; 0.003769; -0.432449; -0.905380;
1.591859; 0.005371; -0.431900; -0.906937;
1.601871; 0.006363; -0.431458; -0.902893;
1.611883; 0.004852; -0.432297; -0.900284;
1.621894; 0.003006; -0.429825; -0.901184;
1.631906; 0.003464; -0.429123; -0.899582;
1.641918; 0.004333; -0.428894; -0.897629;
1.651929; 0.008011; -0.423782; -0.904160;
1.661941; 0.007217; -0.419479; -0.904785;
1.671953; 0.007568; -0.418320; -0.906998;
1.681964; 0.006622; -0.418167; -0.916595;
1.691976; -0.002670; -0.418152; -0.919998;
1.701988; -0.012695; -0.419052; -0.920441;
1.712000; -0.013214; -0.420227; -0.922272;
1.722011; -0.014969; -0.421478; -0.925552;
1.732023; -0.024155; -0.427979; -0.926956;
1.742035; -0.033447; -0.436539; -0.925873;
1.752046; -0.037369; -0.441833; -0.931351;
1.762058; -0.039246; -0.443848; -0.929642;
1.772070; -0.037628; -0.439606; -0.922211;
1.782081; -0.033829; -0.430969; -0.918762;
1.792093; -0.029327; -0.430054; -0.912964;
1.802105; -0.026443; -0.433884; -0.910889;
1.812116; -0.028763; -0.432526; -0.917328;
1.822128; -0.032013; -0.431244; -0.919067;
1.832140; -0.035568; -0.432602; -0.920303;
1.842152; -0.031631; -0.431442; -0.921249;
1.852163; -0.026108; -0.428314; -0.921051;
1.862175; -0.020065; -0.427109; -0.917862;
1.872187; -0.010330; -0.423920; -0.918335;
1.882198; -0.007767; -0.424271; -0.926590;
1.892210; -0.020645; -0.425003; -0.927521;
1.902222; -0.027313; -0.419876; -0.923233;
1.912233; -0.018997; -0.416779; -0.924576;
1.922245; -0.010300; -0.416748; -0.916977;
1.932257; -0.003998; -0.413940; -0.908646;
1.942268; 0.003128; -0.415573; -0.905045;
1.952280; 0.008347; -0.418152; -0.903397;
1.962292; 0.003647; -0.422028; -0.898895;
1.972304; -0.004395; -0.427704; -0.894501;
1.982315; -0.013916; -0.428131; -0.901367;
1.992327; -0.019745; -0.437775; -0.901031;
2.002339; -0.025116; -0.446381; -0.896072;
2.012350; -0.026749; -0.440689; -0.901062;
2.022362; -0.024094; -0.433899; -0.905014;
2.032374; -0.018646; -0.428680; -0.901962;
2.042385; -0.014481; -0.427856; -0.902802;
2.052397; -0.015396; -0.424683; -0.907410;
2.062409; -0.016769; -0.418808; -0.914566;
2.072421; -0.015640; -0.415207; -0.918350;
2.082432; -0.014038; -0.420013; -0.917191;
2.092444; -0.011230; -0.425079; -0.913925;
2.102456; -0.011856; -0.424881; -0.914017;
2.112467; -0.012573; -0.428955; -0.912704;
2.122479; -0.012650; -0.426910; -0.919159;
2.132491; -0.013580; -0.424500; -0.922455;
2.142502; -0.012680; -0.417175; -0.922546;
2.152514; -0.005539; -0.408234; -0.923660;
2.162526; 0.002274; -0.400635; -0.921692;
2.172538; 0.006287; -0.396652; -0.919739;
2.182549; 0.007401; -0.401489; -0.918091;
2.192561; 0.004379; -0.406647; -0.919952;
2.202573; -0.006577; -0.412231; -0.922470;
2.212584; -0.012939; -0.417709; -0.922379;
2.222596; -0.014282; -0.415604; -0.921310;
2.232608; -0.013885; -0.423462; -0.916306;
2.242619; -0.018036; -0.428406; -0.912277;
2.252631; -0.025864; -0.420639; -0.913589;
2.262643; -0.031174; -0.419785; -0.909912;
2.272655; -0.038452; -0.419235; -0.909866;
2.282666; -0.040833; -0.420074; -0.915222;
2.292678; -0.034744; -0.423996; -0.918365;
2.302690; -0.030106; -0.427231; -0.918549;
2.312701; -0.025742; -0.434341; -0.915756;
2.322713; -0.021851; -0.441055; -0.913651;
2.332725; -0.023087; -0.442551; -0.911255;
2.342736; -0.027908; -0.438919; -0.909592;
2.352748; -0.030975; -0.434204; -0.909576;
2.362760; -0.033600; -0.428513; -0.914719;
2.372771; -0.033554; -0.419830; -0.919617;
2.382783; -0.028961; -0.414627; -0.923187;
2.392795; -0.024887; -0.410339; -0.928406;
2.402807; -0.018127; -0.409729; -0.930954;
2.412818; -0.007889; -0.416321; -0.926514;
2.422830; -0.002121; -0.416046; -0.923630;
2.432842; -0.000229; -0.412857; -0.926041;
2.442853; 0.001450; -0.419983; -0.923752;
2.452865; 0.007736; -0.408630; -0.921600;
2.462877; 0.008270; -0.402649; -0.918610;
2.472888; -0.003708; -0.411942; -0.913010;
2.482900; -0.026978; -0.421448; -0.905945;
2.492912; -0.053299; -0.434662; -0.905838;
2.502923; -0.080078; -0.457306; -0.903488;
2.512935; -0.098999; -0.466644; -0.900375;
2.522947; -0.103409; -0.468002; -0.899673;
2.532959; -0.092865; -0.458099; -0.905060;
2.542970; -0.068771; -0.453033; -0.901657;
2.552982; -0.047226; -0.454254; -0.896622;
2.562994; -0.030807; -0.440536; -0.898041;
2.573005; -0.020554; -0.434204; -0.896423;
2.583017; -0.011810; -0.429886; -0.898956;
2.593029; -0.013138; -0.419235; -0.902496;
2.603040; -0.024338; -0.419479; -0.901810;
2.613052; -0.034866; -0.423370; -0.902390;
2.623064; -0.045456; -0.427933; -0.901215;
2.633076; -0.052689; -0.439804; -0.899246;
2.643087; -0.049667; -0.446594; -0.896988;
2.653099; -0.042953; -0.445679; -0.895645;
2.663111; -0.032227; -0.450043; -0.890015;
2.673122; -0.024704; -0.453461; -0.886490;
2.683134; -0.025116; -0.452606; -0.887985;
2.693146; -0.028687; -0.447861; -0.891037;
2.703157; -0.033768; -0.444473; -0.895737;
2.713169; -0.040344; -0.438690; -0.902481;
2.723181; -0.045624; -0.436234; -0.907013;
2.733192; -0.046936; -0.433807; -0.912048;
2.743204; -0.044174; -0.432404; -0.917007;
2.753216; -0.040939; -0.432648; -0.921112;
2.763228; -0.036804; -0.427933; -0.924469;
2.773239; -0.036804; -0.425781; -0.930496;
2.783251; -0.036285; -0.428604; -0.937454;
2.793263; -0.034912; -0.437241; -0.935486;
2.803274; -0.041733; -0.440521; -0.933701;
2.813286; -0.049622; -0.439850; -0.928467;
2.823298; -0.050583; -0.439621; -0.919083;
2.833309; -0.048096; -0.434128; -0.914658;
2.843321; -0.044571; -0.422424; -0.914078;
2.853333; -0.040726; -0.419006; -0.911926;
2.863345; -0.032608; -0.422882; -0.906479;
2.873356; -0.030746; -0.419037; -0.905930;
2.883368; -0.026840; -0.420151; -0.904572;
2.893380; -0.022491; -0.430847; -0.896332;
2.903391; -0.023254; -0.439545; -0.896652;
2.913403; -0.029312; -0.442413; -0.896484;
2.923415; -0.039886; -0.445251; -0.896011;
2.933426; -0.046799; -0.440933; -0.898590;
2.943438; -0.046646; -0.439728; -0.900650;
2.953450; -0.045258; -0.437057; -0.904129;
2.963462; -0.042221; -0.434998; -0.905975;
2.973473; -0.034409; -0.431046; -0.907532;
2.983485; -0.026733; -0.424683; -0.910568;
2.993497; -0.021866; -0.421021; -0.913177;
3.003508; -0.024368; -0.418137; -0.918671;
3.013520; -0.029022; -0.424805; -0.918060;
3.023532; -0.030518; -0.441528; -0.913437;
3.033543; -0.038986; -0.445343; -0.914993;
3.043555; -0.047256; -0.448364; -0.912033;
3.053567; -0.050278; -0.456238; -0.906494;
3.063578; -0.053833; -0.457733; -0.903687;
3.073590; -0.056290; -0.447174; -0.903412;
3.083602; -0.051224; -0.435974; -0.905533;
3.093614; -0.047440; -0.430649; -0.909454;
3.103625; -0.039886; -0.420639; -0.912491;
3.113637; -0.029770; -0.413269; -0.915955;
3.123649; -0.018753; -0.407669; -0.919281;
3.133660; -0.012238; -0.407196; -0.921448;
3.143672; -0.008820; -0.416473; -0.917801;
3.153684; -0.009125; -0.419220; -0.918579;
3.163695; -0.012772; -0.425613; -0.915955;
3.173707; -0.016327; -0.433044; -0.911484;
3.183719; -0.019745; -0.436432; -0.906860;
3.193732; -0.023621; -0.436249; -0.902603;
3.203743; -0.023026; -0.436768; -0.898834;
3.213755; -0.023392; -0.431915; -0.900772;
3.223767; -0.024231; -0.421555; -0.906815;
3.233778; -0.024857; -0.418625; -0.911255;
