timestamp; x; y; z;
0.000000; 0.194260; -0.339127; -0.987167;
0.010012; 0.187729; -0.330612; -0.958694;
0.020023; 0.180420; -0.325256; -0.936676;
0.030035; 0.177261; -0.321030; -0.914871;
0.040046; 0.178574; -0.315994; -0.891281;
0.050055; 0.177414; -0.317200; -0.875885;
0.060067; 0.173325; -0.329117; -0.874664;
0.070078; 0.170486; -0.340683; -0.881165;
0.080090; 0.171204; -0.349426; -0.892380;
0.090101; 0.174210; -0.353622; -0.904160;
0.100113; 0.178375; -0.355072; -0.913101;
0.110125; 0.180252; -0.354477; -0.921692;
0.120136; 0.184814; -0.350449; -0.922653;
0.130148; 0.189285; -0.348038; -0.922485;
0.140159; 0.187485; -0.347992; -0.922134;
0.150171; 0.187790; -0.346786; -0.922806;
0.160183; 0.192719; -0.346497; -0.922379;
0.170194; 0.194702; -0.345520; -0.917007;
0.180206; 0.189713; -0.345230; -0.910645;
0.190217; 0.181213; -0.347610; -0.908768;
0.200229; 0.174820; -0.349213; -0.913864;
0.210241; 0.175461; -0.349457; -0.919968;
0.220252; 0.177673; -0.346832; -0.928116;
0.230264; 0.180573; -0.342728; -0.935547;
0.240275; 0.184738; -0.338089; -0.943283;
0.250287; 0.187531; -0.333176; -0.947403;
0.260299; 0.189346; -0.331909; -0.944672;
0.270310; 0.189392; -0.333618; -0.941696;
0.280322; 0.183090; -0.340012; -0.936005;
0.290333; 0.176178; -0.345322; -0.932358;
0.300345; 0.174988; -0.348495; -0.932770;
0.310357; 0.175095; -0.350677; -0.933487;
0.320368; 0.173691; -0.348068; -0.932953;
0.330380; 0.173050; -0.344894; -0.935944;
0.340391; 0.173691; -0.341263; -0.939575;
0.350403; 0.173676; -0.337845; -0.934937;
0.360415; 0.173569; -0.338531; -0.931534;
0.370426; 0.172882; -0.341125; -0.932755;
0.380438; 0.170624; -0.341019; -0.929947;
0.390450; 0.171722; -0.343323; -0.937698;
0.400461; 0.179047; -0.338501; -0.956635;
0.410473; 0.181122; -0.333435; -0.956970;
0.420484; 0.177170; -0.332901; -0.954224;
0.430496; 0.172211; -0.333435; -0.945724;
0.440508; 0.165573; -0.331589; -0.931763;
0.450519; 0.158997; -0.333755; -0.916977;
0.460531; 0.155319; -0.336227; -0.903931;
0.470542; 0.154251; -0.340118; -0.899826;
0.480554; 0.155197; -0.344543; -0.902390;
0.490566; 0.154510; -0.346008; -0.905136;
0.500577; 0.156204; -0.345001; -0.909149;
0.510589; 0.159027; -0.345261; -0.922287;
0.520600; 0.167831; -0.346542; -0.940643;
0.530612; 0.176544; -0.342270; -0.953400;
0.540624; 0.180038; -0.336029; -0.963333;
0.550635; 0.172546; -0.333954; -0.963272;
0.560647; 0.163025; -0.335907; -0.954407;
0.570658; 0.161530; -0.338776; -0.948257;
0.580670; 0.158585; -0.340561; -0.945129;
0.590682; 0.154007; -0.339218; -0.942627;
0.600693; 0.150543; -0.340317; -0.930527;
0.610705; 0.146408; -0.341202; -0.917709;
0.620716; 0.142197; -0.342514; -0.910645;
0.630728; 0.138641; -0.342972; -0.907883;
0.640740; 0.136353; -0.343155; -0.915421;
0.650751; 0.140533; -0.342590; -0.923157;
0.660763; 0.146393; -0.339355; -0.930328;
0.670774; 0.151993; -0.333633; -0.933640;
0.680786; 0.157013; -0.325806; -0.929428;
0.690798; 0.156891; -0.321045; -0.926727;
0.700809; 0.155228; -0.319305; -0.926239;
0.710821; 0.153152; -0.324478; -0.929672;
0.720832; 0.148117; -0.328979; -0.931870;
0.730844; 0.143997; -0.331482; -0.928986;
0.740856; 0.139832; -0.333466; -0.927002;
0.750867; 0.139099; -0.334824; -0.926239;
0.760879; 0.140945; -0.334213; -0.932297;
0.770891; 0.141876; -0.334549; -0.935989;
0.780902; 0.143234; -0.333664; -0.936493;
0.790914; 0.146790; -0.334320; -0.942902;
0.800925; 0.152328; -0.329971; -0.943268;
0.810937; 0.154831; -0.328522; -0.941055;
0.820949; 0.152893; -0.332291; -0.947144;
0.830960; 0.150909; -0.330429; -0.944290;
0.840972; 0.148697; -0.328384; -0.934357;
0.850983; 0.147079; -0.329010; -0.934845;
0.860995; 0.152359; -0.330276; -0.938248;
0.871007; 0.158844; -0.329071; -0.937347;
0.881018; 0.157730; -0.335526; -0.938629;
0.891030; 0.152664; -0.339905; -0.939484;
0.901041; 0.150925; -0.342056; -0.939453;
0.911053; 0.150604; -0.342300; -0.939011;
0.921065; 0.150757; -0.339676; -0.934952;
0.931076; 0.155396; -0.338699; -0.935699;
0.941088; 0.166275; -0.335007; -0.940506;
0.951099; 0.170013; -0.334534; -0.938446;
0.961111; 0.165344; -0.338440; -0.937592;
0.971123; 0.159729; -0.341049; -0.936310;
0.981134; 0.155914; -0.340637; -0.929123;
0.991146; 0.152313; -0.337509; -0.924454;
1.001158; 0.150040; -0.337311; -0.923050;
1.011169; 0.153992; -0.337875; -0.924088;
